brandname,pid,pname,product_price,product_volume,category,num_of_rev_gl
라네즈,102181,레이어링 커버 쿠션 & 컨실링 베이스 SPF34 PA++,"32,000원",14g+2.5g,"파운데이션,쿠션타입",174
라라베시,33852,악마쿠션 S.F 베이비핑크 (ICE CUTE EDITION),"24,000원",20g,"파운데이션,쿠션타입",674
라라베시,21286,악마쿠션 F.W,"24,000원",20g,"파운데이션,쿠션타입",480
라라베시,11661,악마쿠션 SS,"24,000원",40g,"파운데이션,쿠션타입",472
랑콤,27299,블랑 엑스퍼트 쿠션 컴팩트,"65,000원",14g*2,"파운데이션,쿠션타입",208
랑콤,65993,블랑 엑스퍼트 쿠션 컴팩트 하이 커버리지 SPF50+ PA+++,"68,000원",13g,"파운데이션,쿠션타입",300
랑콤,99091,뗑 미라클 핏 파운데이션 SPF25 PA+++,"68,000원",30ml,파운데이션,143
레브론(revlon),45221,컬러스테이 휩 크림 파운데이션,"26,000원",23.7ml,파운데이션,268
로라메르시에,5896,크렘 스무드 파운데이션(크림 스무드 파운데이션),"78,000원",30g,파운데이션,148
로레알파리,77923,트루 매치 파운데이션,"24,000원",30ml,파운데이션,817
루나,19278,워터 파운 팩트 SPF35 PA++,"28,000원",12.5g,파운데이션,138
루나,71894,에센스 수분광 팩트 EX,"33,000원",12.5g,파운데이션,278
루나,2719,원더 에센셜 비비파운데이션,"30,000원",40ml,파운데이션,126
루나,75163,프로 컨실 파운데,"33,000원",40ml,파운데이션,151
루나,89392,에센스 수분광 팩트 AD SPF50+ PA+++,"33,000원",12.5g*2,파운데이션,340
루나솔,19256,스킨 모델링 워터 크림 파운데이션 SPF20 PA++　,"70,000원",30g,파운데이션,139
리리코스,3973,마린 UV 워터쿠션 SPF50+ PA+++,"45,000원",15g*2,"파운데이션,쿠션타입",198
리리코스,33667,마린 콜라겐 쿠션 SPF50+ PA+++,"45,000원",15g*2,"파운데이션,쿠션타입",994
마몽드,85949,커버 글로우 파운데이션,"20,000원",30ml,파운데이션,168
마몽드,80912,하이 커버 리퀴드 쿠션 SPF34/PA++,"25,000원",15g,"파운데이션,쿠션타입",429
마몽드,90938,브라이트닝 커버 파우더 쿠션 (SPF 50+/PA+++),"20,000원",15g,"파운데이션,쿠션타입",263
마몽드,90953,브라이트닝 커버 워터리 쿠션 (SPF 50+/PA+++),"20,000원",15g,"파운데이션,쿠션타입",161
마몽드,43389,모이스처 마스크 쿠션,"30,000원",15g*2,"파운데이션,쿠션타입",492
맥 (MAC),47293,스튜디오 워터웨이트 SPF30/PA++ 파운데이션,"50,000원",30ml,파운데이션,104
맥 (MAC),3000,미네랄라이즈 모이스처 SPF15 파운데이션,"55,000원",30ml,파운데이션,162
맥 (MAC),7441,스튜디오 퍼펙트 파운데이션 SPF15 PA+ ,"48,000원",13g,파운데이션,312
맥 (MAC),34318,프로 롱웨어 너리싱 워터프루프 파운데이션,"52,000원",25ml,파운데이션,713
맥 (MAC),40689,스튜디오 퍼펙트 SPF 15/PA+ 파운데이션 포티파이드 모이스처-퓨전 콤플렉스,"48,000원",13g,파운데이션,192
메디큐브,85608,레드 쿠션,"42,000원",15g,"파운데이션,쿠션타입",140
메이블린 뉴욕,56821,핏미 매트 + 포어리스 파운데이션,"18,000원",30ml,파운데이션,175
메이크업포에버,685,HD 파운데이션,"58,000원",30ml,파운데이션,333
메이크업포에버,88791,UV 브라이트 쿠션 SPF35 PA+++(프로쿠션),"60,000원",15g*2,"파운데이션,쿠션타입",603
메이크업포에버,686,페이스 앤 바디,"55,000원",50ml,파운데이션,523
메이크업포에버,78324,워터 블랜드,"60,000원",50ml,파운데이션,268
메이크업포에버,43041,울트라 HD 파운데이션 (UHD파운데이션),"60,000원",30ml,파운데이션,482
메이크업포에버,4438,리퀴드 리프트 파운데이션,"57,000원",30ml,파운데이션,286
메이크업헬퍼,26067,더블쿠션(허니블라썸),"38,000원",24g,파운데이션,129
미샤,80215,디 오리지널 텐션 팩트 내추럴 커버,"15,800원",14g,"파운데이션,쿠션타입",502
미샤,93800,M 매직 쿠션 커버 SPF50+ PA+++,"8,500원",15g,"파운데이션,쿠션타입",114
미샤,80214,디 오리지널 텐션 팩트 톤업 글로우,"15,800원",14g,"파운데이션,쿠션타입",129
미샤,40812,[M] 크림 텐션 팩트 SPF37 PA++,"15,800원",15g,파운데이션,613
미샤,697,M 래디언스 파운데이션 SPF20 PA++,"21,800원",35ml,파운데이션,391
미샤,43371,시그니처 에센스 쿠션 인텐시브 커버,"32,000원",14g,"파운데이션,쿠션타입",296
미샤,90486,시그너처 아우라 텐션 롱웨어커버 SPF35 PA+++,"26,000원",16g,"파운데이션,쿠션타입",274
미샤,51025,수퍼 라이트 오일 파운데이션 ,"19,800원",30ml,파운데이션,365
미샤,85801,금설 텐션 팩트 SPF30 PA++,"34,000원",17g,"파운데이션,쿠션타입",397
미샤,101065,NEW 래디언스 파운데이션 SPF20 PA++,"21,000원",35ml,파운데이션,137
미쯔요시,51925,그리스 페인트,"16,900원",1p,"파운데이션,컨실러",289
바닐라코,27246,커버10 퍼펙트 파운데이션 SPF30 PA++ ,"30,000원",30ml,파운데이션,398
바닐라코,79044,NEW 프라임 프라이머 피팅 파운데이션 SPF 30 PA++,"28,000원",30ml,파운데이션,255
바닐라코,48373,커버 10 퍼펙트 쿠션 SPF30 PA++,"38,000원",15g,"파운데이션,쿠션타입",224
바닐라코,25415,VV 바운싱 쿠션 SPF50+ PA+++,"38,000원",15g,"파운데이션,쿠션타입",234
바닐라코,1769,래디언트 롱웨어 파운데이션 SPF31 PA++,"28,000원",30ml,파운데이션,107
바닐라코,14732,프라임 프라이머 피팅 파운데이션 SPF30 PA++,"28,000원",30ml,파운데이션,523
바비 브라운,728,스킨 파운데이션 SPF15 PA+,"72,000원",30ml,파운데이션,230
바비 브라운,730,스킨 파운데이션 스틱,"57,000원",9g,파운데이션,345
바비 브라운,67389,스킨 파운데이션 쿠션 컴팩트 SPF50 PA+++ (캡슐 컴팩트),"68,000원",13g,"파운데이션,쿠션타입",303
바비 브라운,726,롱웨어 이븐 피니시 파운데이션 SPF15,"75,000원",30ml,파운데이션,181
바비 브라운,27384,인텐시브 스킨 세럼 파운데이션 SPF 40 PA+++,"83,000원",30ml,파운데이션,343
바비 브라운,56461,스킨 너리싱 글로우 파운데이션,"85,000원",30ml,파운데이션,106
베네피트,5650,썸 카인다 고져스,"45,000원",9.5g,"파운데이션,팩트",136
베네피트,739,헬로 플로리스 옥시전 와우 SPF25 PA+++,"55,000원",30ml,파운데이션,179
베네피트,2861,플레이 스틱,"46,000원",8.5g,파운데이션,122
베리떼,35220,UV 멀티쿠션LX,"40,000원",30g,"파운데이션,쿠션타입",327
베리떼,4097,익스테이 마블팩트,"38,000원",16g,"파운데이션,팩트",111
베리떼,74465,오로라 커버쿠션,"40,000원",15g*2,"파운데이션,쿠션타입",373
