,item_name,user_name,created_date,age,skin_type,review_text,score
0,디스어포어 뷰티 밤,오리리링링,2018-05-17,22,복합성,"전 그저그랬어용 비비특유의 회색끼는 무시할수없었고 다크
닝도있고 확실히 두껍게? 느껴지더라구여
하도 파운데이션만쓰다가 한번 비비에 손댔는데 다시 파데
로 돌아갑니다..",3
1,디스어포어 뷰티 밤,lucasss,2018-05-03,22,복합성,이번에 할인해서 큰밈먹고 산 제품이에요 할인을 해도 비비치고 비싸더라고요TT 근데 모공은 확실히 잘 가려주고 마우리감도 좋았어요 커버력은 좀 약한거같아 그위에 파운데이션이랑 컨실러했더니 진짜갠춘! 어제 찬바람 많이불고 비도왔는데 걸어다녀도 건조한감없고요연고로 전 건성에가까운 중성입니다 나름 갠춘했던제품~근데 완벽한커버는안되요ㅠ 1,5
2,디스어포어 뷰티 밤,921 21 2jyr,2018-02-17,26,민감성,"개인적으로 겨울에 파데랑 섞어바르면
밀착력 커버력 지속력 높여주고
화장 뜨는거 잡아줘서 좋아요.
다른 비비대비 만족스럽고
회색빛 돈다는 소리 많이들었는대
저는 잘 모르겠습니다 ㅋ ㅋ",5
3,디스어포어 뷰티 밤,춤추는곰,2016.01.19,34,건성,"'

.
실버라벨 쓰다가 더 촉촉한 제품을 찾아볼 겸 도전한 제품입니다. 막 촉촉하고 그런
건 잘 모르겠지만 발림성이 매우 좋습니다. 또 지속력도 있고 피부 표현력도 자연스럽
습니다. 실버라벨하고 비교하면 전 그래도 실버라벨이 쫌 더 좋은 것 같아요~",4
4,디스어포어 뷰티 밤,뚜꾸리 ,2016.01.19,22,복합성,"한 달 정도 사용했습니다!
좋다는 평도 자자하고 성분도 나쁘지 않아서
망설임없이 질렀습니다
저는 에 피부가 진짜 민감해요 잘못
쓰면 피부 바로 뒤집힘 하
다행히 이 비비 쓰면서 여드름나고그런거
없었습니다 이건 참 조음 ㅜㅠ
비비 색이 진짜 밝아요 하얗다는 소리 듣는 피부이고 그동안 제일 밝은 비비만 써왔는
데도 이건 바르면 음 화장 과한것 같고ㅋ ㅋ ㄱ ㅋ ר 이건 퍼프로 얇게 바르니 좀 괜찮더
라구요 저는 자연스러운 메이크업을 주로 해서 재구매 의사는 딱히
없습니다 모공 커버력도 생각보다 별로였어요
그래도 지속력은 진짜 좋습니다 전체적으로
괜찮은데 개인적 인 취향에 안맞을 뿐
밝고 지속력 좋은 비비 찾으시면 추천합니다",3
5,디스어포어 뷰티 밤,자몽자몽해k,2016.01.18,25,복합성,"이거 보고 언른사봤어요!!
결론은 비비를더 찾아볼래요..ㅎ
데일리로 씨씨대신 쪼금씩 바르긴좋을것같지만 피부톤도 환해지는거모르겠고 괘
다고요철이 확가려지지도않으며 그냥 그저그런템인 것같아요",3
6,디스어포어 뷰티 밤,명무새,2016.01.18,27,복합성,".

, 
글로우픽에서 보고 구매했어요
이라 원래 레브론 파데 쓰다가 겨울이라 너무 건조해서 뜨고 난리가 났는데 이
건 적당히 촉촉하고 발림상도 좋아요
아무래도 비비니깐 지속력이 좀 아쉽지만 다른 장점들이 워낙 커서 추천!",4
7,디스어포어 뷰티 밤,뭐 할까아,2016.01.18,23,복합성,손으로 바르는것보다 붓으로 바르는게 피부 촉촉해보여서 자주애용해읗ㅎ더샘컨실러랑 같이 쓰는데 커버 개쩔규 걍 조음! ! ! ! ! 피부색도 딱맞아서 좋아요수정피부타입이 여드름약때문에 건성으로 바뀌었는데요TT 너무건조해서 푸삭푸석해보이고 그 여파로 커버도 잘 안됩니다…약간의 유분이 있으신분들께 추천합니당,4
8,디스어포어 뷰티 밤,소레기,2016.01.18,23,건성,"잘발려요,,제얼굴이문제일수도잇지만 화장이 잘무너지긴하지만",4
9,디스어포어 뷰티 밤,침치이,2016.01.18,23,민감성,"실버랑 블랙 섞어 발라보면 각각장점끼리 시너지효과나서 정말 좋음 더구나 홍조있
는사람은 잿빛이 도는 느낌이 없지만 피부가좋은사람들은 잿빛이 있다고 생각할수있
음
비비크림치고 계속쓰라면 계속쓸것같음
빵,",
10,디스어포어 뷰티 밤,혜원데쓰,2016.01.18,18,민감성,"216.1.
이거 생각보다 잿빛 않돌아서 괜찮앗서여..그냥 살짝 건성인 보통피부인데 땡기지
도 않고 완전굿n
,",4
11,디스어포어 뷰티 밤,파부리,2016.01.17,22,복합성,"샘플써보고 반해서 본품 사게됨
모공커버 디스어포어>>실버라벨
톤보정 디스어포어»실버라벨
본품 막상 사니깐 잘바르게되진 않게됨 특유의 텁텁한 느낌
일할때나 인터넷으로 꼭사요!",
12,디스어포어 뷰티 밤,숙숙01,2016.01.17,23,건성,1 하.. 이거 너무 좋음 내 첫 비비였는데잠깐 다른제품 쓰려고 해도 결국 다시 이 걸로 돌아옴색상도 회색빛안돌고 진짜 내피부랑 똑같음 커버력은 좋지는 않음 얼굴 얼룩덜룩이는 잘잡아줌 그리고 모공관련 제품이라는데 그런건 딱히 모르겠음코옆에 살짝 끼임 같은게있기는 함원래 화장도 얇게하고 수정화장도 딱히 안에서 지속력은 잘모르겠음하지만 그냥좋음 쿠션으로 안나오나 쿠션사고 싶은데 이게 너무 좋아서 쿠션제품 뭐사야할지도 모르겠음ㅜㅠㅜ,5
13,디스어포어 뷰티 밤,김서원님,2018-02-17,26,복합성,"몇년째 사용중입니다
커버력지속력갑
양도 많고요 가격도착하죠
피부과의사들이 만들었다고 신뢰도가고
피부에 트러블도 안납니다!
옛날에 6-7년전에는 유명하지않았는데
지금은1순위인거보니 역시 좋은템들은 입소문타나보네요",5
14,디스어포어 뷰티 밤,러뷰띵,2016.01.17,22,지성,원래 피부예민한편이라서 좋다는비비써봤지만 이비비짱인듯! 발림성도 보들보들하,5
15,디스어포어 뷰티 밤,백인호,2016.01.14,20,건성,"조논 ㅎ
'",5
16,디스어포어 뷰티 밤,a ,2016.01.13,27,민감성,"'


비비에 대한 편견을 없애준 제품 중 하나. 단독으로 발라도 괜찮고 꾸덕한 파데랑 바
르면 서로의 단점을 보완한다. 피부가 편하고 인 피부에 트러블을 일으키지 않
았다. 밀착력이 뛰어나며 색깔도 예쁘다
하지만 겨울에는 못쓰겠어요. 너무 건조 합니다",4
17,디스어포어 뷰티 밤,냐밈 ,2016.01.11,25,복합성,"무난했던 비비크림이라고 생각했는데
딴거 쓰고나니 좋았던제품이라고 느껴짐
커버력이랑 화사해지는거 촉촉한거
다좋았어용 지속력은 좀평범한 편이라
중간에 수정화장 한번 정도 해주면 하루종일
무너지지않고 좋았어요",4
18,디스어포어 뷰티 밤,961 205,2016.01.11,23,복합성,"'

, 
저는 프라이머 대신 사용하고 있는데요그 정도로 모공 커버 효과는 좋은 것 같아요.
무엇보다 만족스러운 점은 바른 직후에도 전혀 끈적거림이 없다는 거에요. 하지만 피
부 트러블이 있는 저에게 커버력은 약하게 느껴졌어요그래서 이 제품 바른 후에 쿠
션이나 파운데이션으로 마무리하고 있어요.",5
19,디스어포어 뷰티 밤,juduck,2016.01.11,26,지성,".
친구들이 다 이거쓰는거 보고 봐꿨는데 후회 안하는 제품
발릴때는 좀 부드럽게 발리는데 화장이 피부에 안착되면 실키하게 변함
특히 좋은건 눈 특성상 아이라이너가 애교살에 찍혀 팬더가 되는경우가 있는데 이건
그런게 하나도 없음",5
20,디스어포어 뷰티 밤,리네양,2016.01.11,30,민감성,"손등테스트 해보고 깜놀
손주름 다 메워져서 무서웠음
건조해 보여서 구매는 안했는데
기초 탄탄히 하면 대박 일듯
,",4
21,디스어포어 뷰티 밤,박지랭이,2016.01.09,19,지성,"실버라벨은 색 자체가 약간 어둡고 촉촉하게 나온반면 이 디스어포어는 밝고 매트한
게 장점입니당 실버라벨은 바르고 나서 약간 묻어나옴이 있는데 디스어포어는 보송
하게 마무리되고 묻어나옴도 적어용 커버력은 실버라벨이 더 좋고 디스어포어는 피
부톤이 환해지는느낌? 그래서 여름에는 컨실러에 디스어포어. 겨울에는 실버라벨 바
르고다니면 될듯ㅎ ㅎ
,",5
22,디스어포어 뷰티 밤,mm ml 1 06,2016.01.09,27,복합성,"이거 진짜 별로
뭔가 믿고 샀는데 후회중임 너무 밝아요 겨울에 쓰기에 너무 파우더리하고 건조함 놔
뒀다가 여름에 써볼려고 기다리는중TT",2
23,디스어포어 뷰티 밤,예지이,2016.01.09,23,민감성,"'

이게 그렇게 좋다구해서 샀는데 내기준ユ냥 보통보다 조금 더 좋은 정도? ב저 ב런
듯ㅎ
모공커버에 좋다구 해서 샀는데 이건 좀 괜찮은것같고 커버력은 보통임ㅠ 커버력도
괜찮다는 말 보고 샀는데 하얗게 되기만하고 커버는 잘 안됨
게다가 너뮤 하얘서 여러번 바르면 화떡되고..ㅎ
쓰던 걸로 바꿔야겠음",4
24,디스어포어 뷰티 밤,맑고투명한피부,2018-02-17,31,중성,"닥터자르트가 비비의 최강자라길래 기대했지만 저는 별로였
어요. 라마이드크림 사면서 받은 샘플지로 5일정도 써봤
는데 시간 지난 이후부터 다크닝이랑 들뜨는 현상이 심해
지더라구요ㅠㅠ
비비크림은 색상이나 들뜸 정도가 사람마다 너무 다르니까
바로 본품사지 마시고 테스트를 꼭 해보셨음 해요~",2
25,디스어포어 뷰티 밤,엘리사벳,2016.01.07,30,복합성,비비는 얘가 정답,5
26,디스어포어 뷰티 밤,봄222,2016.01.06,29,복합성,"칙칙하고 약간건조하고 커버력도없고
톤은 실버라벨보다 괜찮지만 왜좋다는지 1도 모르겠다
91로,",
