brandname,pid,pname,product_price,product_volume,category
1960ny,20036,에센셜 비비 SPF50+ PA+++,"38,000원",50ml,비비크림
3CE(쓰리컨셉아이즈/스타일난다),5832,백 투 베이비 비비크림,"19,000원",30ml,비비크림
A24,22373,프리미엄 블레미쉬 리커버 밤 레쥬비네이팅 크림,"50,000원",50ml,비비크림
AHC(에이에이치씨),22345,오토 인텐스 컨튜어 밤 SPF37 PA++,"59,000원",10g,비비크림
AHC(에이에이치씨),22347,인텐스 컨튜어밤 모이스춰 SPF30,"70,000원",30ml,비비크림
AHC(에이에이치씨),20072,인텐스 컨튜어 밤,"70,000원",30ml,비비크림
AHC(에이에이치씨),22346,유브이 캡처 선 비비 SPF30 PA++,"55,000원",30ml,비비크림
AHC(에이에이치씨),22344,오리지널 비비,"34,000원",50ml,비비크림
AHC(에이에이치씨),22348,나인프리 인텐스 컨튜어 밤 SPF45 PA+++,"55,000원",35g,비비크림
BRTC(비알티씨),18286,쟈스민 볼류머 B&C 밤 SPF50+ PA+++,"55,000원",10g,"비비크림,씨씨크림"
BRTC(비알티씨),26512,화이트닝 앤 리페어링 B&C밤,"38,000원",14g,비비크림
BRTC(비알티씨),48393,골드캐비어 B&C 밤,"55,000원",12g,비비크림
BRTC(비알티씨),75946,골드 캐비어 비비크림,"32,000원",35g,비비크림
BRTC(비알티씨),3020,쟈스민 워터 비비크림 SPF30,"28,000원",35g,비비크림
BRTC(비알티씨),26517,바이탈라이저 레이저 에이드 비비크림,"40,000원",35ml,비비크림
BRTC(비알티씨),54073,블레미쉬 리커버 밤 SPF28 PA++,"32,000원",40ml,비비크림
BRTC(비알티씨),71357,아쿠아 러쉬 워터드롭 비비크림,"28,000원",35g,비비크림
CNP Rx(씨앤피 알엑스),78745,애프터 오피 블레미쉬 밤,"48,000원",30ml,비비크림
CNP(차앤박),75520,에이클린 포어 컨트롤 비비,"28,000원",30ml,비비크림
CNP(차앤박),76001,닥터더마 비비비,"35,000원",30ml,비비크림
CNP(차앤박),15811,블레미쉬 블록 SPF20 PA++,"38,000원",30ml,비비크림
CNP(차앤박),15814,비비프라이머 퍼팩트 피니셔,"38,000원",30ml,비비크림
CNP(차앤박),15806,미네랄 B.B.B 퍼-팩트 SPF42 / PA,"42,000원",10g,비비크림
CNP(차앤박),37071,닥터레이 리바이브 스킨비비크림,"42,000원",30ml,비비크림
CNP(차앤박),76817,딥 모이스처 톤업 비비,"28,000원",30ml,비비크림
CNP(차앤박),1786,B.B.B+포뮬라 SPF46 PA++,"47,000원",30ml,비비크림
CNP(차앤박),45893,올데이 톤-업 비비크림,"15,000원",30ml,비비크림
DK 코스메틱,67049,DK 매직커버 비비크림,"9,900원",35ml,비비크림
MCC,60671,아쿠아 워터리 비비 SPF30 PA++,"19,000원",20ml,비비크림
MCC,40533,아쿠아 워터리 커버 비비,"13,000원",22g,비비크림
MCC,62993,퍼펙트 글로우 비비,"13,000원",50ml,비비크림
MCC,60684,퓨리티 브라이트닝 비비(체리블라썸) SPF35 PA+++,"23,000원",50ml,비비크림
RIRE(리르),86569,스타일 롤링 비비,"22,000원",20ml,비비크림
SNP(에스엔피),18497,아크시스 스팟 비비,"16,000원",50g,비비크림
VDL(브이디엘),96347,브라이트닝 미니 비비 쿠션 SPF50+ PA+++,"32,000원",10g*3,"비비크림,쿠션타입"
"Y.E.T(YET, 옛)",27748,매직 화이트닝 체인징컬러비비,"18,800원",75g,비비크림
"Y.E.T(YET, 옛)",26825,브레이크 비비 워터드롬 SPF45 PA+++,"9,800원",50ml,비비크림
갸마르드,27959,BBB(비비비) 크림 [SPF20/PA+++],"49,000원",40g,비비크림
겔랑,15107,란제리 드 뽀 BB 크림 SPF30 PA+++,"72,000원",40ml,비비크림
겔랑,88641,아쿠아-세럼 비비 하이드라 뷰티 밤 SPF25 PA++,"104,000원",40ml,비비크림
고세(KOSE),19464,코튼베일 미네랄 BB크림 SPF22/PA++,"19,000원",30g,비비크림
고세(KOSE),78374,설기정 화이트 비비 크림 모이스트,0원,30g,비비크림
과일나라,84952,본체청정연 수분솔루션 미네랄 비비크림,"30,000원",-,비비크림
과일나라,84949,본체청정연 퍼펙트 매직 비비크림,"13,000원",50ml,비비크림
과일나라,84951,본체청정연 수분진 비비크림,"35,000원",-,비비크림
과일나라,84950,본체청정연 컬러체인지 블레미쉬 밤,"25,000원",50ml,비비크림
