Item_Id,Brand,Product,Category,Rating,Reviews,Buy_Again
557,Burt's Bees,Beeswax Lip Balm,Lip Treatments,3.7,3684,0.66
912,Smith's Rosebud Salve,Smith's Rosebud Salve (tin),Lip Treatments,3.8,2299,0.67
140186,Maybelline,Baby Lips Lip Balm,Lip Treatments,3.5,1632,0.63
121966,eos,Lip Balm Sphere - Summer Fruit,Lip Treatments,3.3,1275,0.55
6038,Clinique,Almost Lipstick - Black Honey,Lipstick,4.1,1216,0.74
988,DuWop,Lip Venom,Lip Gloss,2.9,1116,0.4
615,Kiehl's,Lip Balm #1,Lip Treatments,3.3,1098,0.53
17764,Carmex,Lip Balm,Lip Treatments,4.0,1085,0.77
1176,Lancome,Lancome Juicy Tubes,Lip Gloss,3.4,1054,0.57
9953,Bonne Bell,Dr. Pepper lipsmackers,Lip Gloss,4.3,1018,0.85
5916,MAC,Lipglass in Prrr,Lip Gloss,4.1,858,0.74
28960,MAC,Nymphette lipglass,Lip Gloss,4.3,766,0.79
88834,Burt's Bees,Replenishing Lip Balm with Pomegranate Oil ,Lip Treatments,3.8,753,0.67
36501,MAC,Retro Matte - Ruby Woo,Lipstick,4.4,694,0.83
4612,MAC,Russian Red,Lipstick,4.6,672,0.86
71354,Burt's Bees,Honey Lip Balm,Lip Treatments,3.0,656,0.45
45515,MAC,Viva Glam V,Lipstick,4.3,638,0.76
36762,Rimmel,Lasting Finish - Airy Fairy,Lipstick,3.9,619,0.71
5957,MAC,Satin Lipstick - Myth,Lipstick,4.0,605,0.74
40121,Fresh,Sugar Lip Treatment SPF 15,Lip Treatments,3.6,587,0.5
2597,MAC,Lipglass in clear,Lip Gloss,3.8,577,0.67
1224,Stila,Lip glaze,Lip Gloss,3.1,572,0.43
16917,MAC,Frost - Angel,Lipstick,4.0,565,0.67
3553,Bonne Bell,Lip Smackers,Lip Gloss,4.3,560,0.85
121161,eos,Lip Balm Sphere - Sweet Mint ,Lip Treatments,3.8,556,0.71
6877,Burt's Bees,Burts Bees Lip Shimmers,Lip Gloss,3.8,541,0.72
139825,NYX Professional Makeup,Soft Matte Lip Cream (All),Lips,4.0,528,0.78
113359,Revlon,Matte Lipstick - Nude Attitude,Lipstick,2.9,524,0.41
620,MAC,Tinted Lipglass,Lip Gloss,4.1,514,0.81
59225,NARS,Orgasm,Lip Gloss,3.5,512,0.53
2179,Nuxe,Reve de Miel Ultra-Nourishing Lip Balm with Honey and Precious Oils,Lip Treatments,4.2,509,0.75
60206,C.O. Bigelow ,Mentha Lip Shine,Lip Gloss,4.4,509,0.83
159230,NYX Professional Makeup,Professional Makeup Butter Gloss,Lip Gloss,4.4,505,0.87
2492,MAC,Lipliner in Spice,Lip Liners,3.7,504,0.64
53426,Too Faced,Lip Injection,Lip Treatments,3.1,502,0.45
12207,MAC,Lustre  in Hug Me,Lipstick,4.2,497,0.75
2255,Wet 'n' Wild,#666 liner,Lip Liners,3.8,473,0.75
3313,MAC,c-thru lipglass,Lip Gloss,4.0,460,0.73
18542,NARS,Dolce Vita,Lipstick,4.1,459,0.69
1254,Cover Girl,Outlast All-Day Lipcolor (All),Lipstick,3.2,450,0.54
61561,Fusion Beauty,LipFusion Lip Plumping Gloss,Lip Treatments,3.7,448,0.66
41587,NARS,Turkish Delight,Lip Gloss,3.7,445,0.64
37136,MAC,Hue,Lipstick,4.2,443,0.76
115664,MAC,Cremesheen - Creme Cup,Lipstick,4.3,431,0.77
1208,Chanel,Glossimer,Lip Gloss,4.3,428,0.83
111158,MAC,Cremesheen - Creme d'Nude,Lipstick,4.1,426,0.75
118989,Dior,Addict Lip Glow Color Reviver Balm,Lip Treatments,4.0,420,0.66
6475,Smith's Rosebud Salve,Smith's Strawberry Lip Balm,Lip Treatments,4.0,402,0.72
122958,eos,Smooth Sphere Organic Lip Balm in Honeysuckle Honeydew,Lip Treatments,3.4,395,0.57
764,MAC,Frost Lipstick in O,Lipstick,4.3,393,0.77
7696,MAC,Lipglass in Lust,Lip Gloss,4.2,391,0.79
47181,MAC,Blankety,Lipstick,4.1,391,0.71
121490,Fresh,Sugar Rose Lip Treatment SPF 15,Lip Treatments,3.8,383,0.59
1670,MAC,Oh baby,Lip Gloss,4.1,381,0.73
2717,Avon,Glazewear (all),Lip Gloss,3.9,378,0.76
15866,Jack Black,Intense Therapy Lip Balm SPF 25,Lip Treatments,4.3,376,0.79
113622,Cover Girl,Outlast Lipstain (All),Lips,2.6,374,0.36
109325,Nivea,A Kiss of Moisture,Lip Treatments,4.1,371,0.75
58185,Maybelline,Superstay lipcolor ,Lipstick,3.9,370,0.76
152996,e.l.f.,Studio Lip Exfoliator,Lip Treatments,4.3,364,0.84
152853,Revlon,Just Bitten Kissable Balm Stain - Honey,Lipstick,4.0,361,0.71
3269,Clinique,Chubby Stick (all shades),Lipstick,4.0,354,0.7
1417,L'Oreal,Colourjuice - tubes,Lip Gloss,3.9,344,0.77
11649,Palmer's,Cocoa Butter Stick,Lip Treatments,4.5,343,0.88
20371,MAC,Snob lipstick,Lipstick,4.1,342,0.74
1468,Clinique,Superbalm Lip Treatment,Lip Treatments,4.2,341,0.78
2260,MAC,Lip Conditioner,Lip Treatments,4.2,340,0.8
56941,Unlisted Brand,Lucas' Papaw Ointment,Lip Treatments,4.5,337,0.9
12279,MAC,Lustre in Syrup,Lipstick,4.4,335,0.8
11303,The Body Shop,Born Lippy Lip Balm,Lip Treatments,3.3,334,0.49
61150,C.O. Bigelow ,Rose Salve,Lip Treatments,4.3,326,0.84
946,MAC,Lipglass in Lychee Luxe,Lip Gloss,4.2,323,0.76
24069,Blistex,Lip Medex ,Lip Treatments,4.5,323,0.9
158005,Nivea,Lip Butter,Lip Treatments,4.2,320,0.78
61785,MAC,Velvet Teddy,Lipstick,4.4,318,0.8
4576,Revlon,Super Lustrous Lipstick (All Shades),Lipstick,4.2,313,0.84
27196,MAC,underage lipglass,Lip Gloss,3.8,312,0.67
13051,MAC,Lipglass - Lovechild,Lip Gloss,4.4,310,0.81
854,Max Factor,Lipfinity,Lipstick,3.1,309,0.52
729,MAC,Satin Lipstick in Twig,Lipstick,4.1,309,0.77
7492,MAC,Lipglass in Oyster Girl,Lip Gloss,4.2,308,0.81
131841,eos,Lip Balm Sphere - Lemon Drop SPF 15,Lip Treatments,3.5,302,0.59
4900,SoftLips,French Vanilla spf 15,Lip Treatments,3.7,301,0.71
180902,ColourPop,Ultra Matte Liquid Lipstick - All Colors ,Lipstick,3.3,295,0.6
128090,Wet 'n' Wild,MegaLast Lip Color,Lipstick,4.3,293,0.86
29168,Revlon,Colorstay Overtime Lipcolor,Lipstick,3.3,278,0.59
120830,Maybelline,Color Sensational (All Shades),Lipstick,3.9,278,0.73
15555,MAC,Rebel Lipstick,Lipstick,4.5,278,0.87
1374,Clinique,Different Lipstick - Tenderheart,Lipstick,4.2,277,0.71
826,BeneFit Cosmetics,Lip Plump,Lip Treatments,2.3,277,0.31
47843,MAC,Amplified Creme - Girl About Town,Lipstick,4.6,276,0.87
41121,Revlon,Super Lustrous Lip Gloss (All Shades),Lip Gloss,4.3,274,0.83
12239,Bonne Bell,Lip Lites- Cappuccino,Lip Gloss,4.2,274,0.83
40746,Revlon,Super Lustrous - Pink Afterglow 020,Lip Gloss,3.9,272,0.65
88301,Sally Hansen,Lip Inflation,Lip Gloss,3.7,270,0.71
16568,NYX Professional Makeup,Lipstick- #529 Thalia,Lipstick,3.5,270,0.55
96134,Soap & Glory,Sexy Motherpucker Lip Gloss,Lip Treatments,3.8,269,0.72
84012,Victoria's Secret,Beauty Rush Gloss (all),Lip Gloss,3.8,268,0.75
115753,MAC,Cremesheen - Shy Girl,Lipstick,4.1,266,0.71
68724,L'Oreal,Colour Riche in Fairest Nude,Lipstick,4.0,266,0.72
513,Bourjois,Effet 3 D Lipgloss,Lip Gloss,4.0,264,0.81
149653,Revlon,ColorBurst Lip Butter in Peach Parfait,Lips,3.5,263,0.53
3380,Chanel,Glossimer - Spark,Lip Gloss,4.5,261,0.84
5255,Lancome,Juicy Tubes in Miracle,Lip Gloss,4.0,261,0.71
17854,MAC,Florabundance lipglass,Lip Gloss,4.0,261,0.72
128533,LUSH,Bubblegum Lip Scrub,Lip Treatments,4.0,261,0.7
5516,Blistex,Silk & Shine ,Lip Treatments,3.3,260,0.52
6918,Bonne Bell,Lip D'Votion,Lip Gloss,3.6,259,0.7
185282,NYX Professional Makeup,Lip Lingerie,Lipstick,3.3,258,0.53
41437,MAC,Tinted Lip Conditioner - Petting Pink ,Lip Treatments,4.2,257,0.79
4798,Neutrogena,Lip Moisturizer,Lip Treatments,4.3,255,0.81
79694,Unlisted Brand,Lansinoh Lanolin,Lip Treatments,4.7,254,0.89
7582,Chapstick,(All Flavors),Lips,3.9,254,0.75
12307,Lancome,Juicy Tubes - Simmer,Lip Gloss,4.2,253,0.79
2823,Neutrogena,moistureshine lipgloss,Lip Gloss,4.1,252,0.79
1088,L'Oreal,Colour Riche Lipstick,Lipstick,3.9,251,0.72
115452,Revlon,Matte Lipstick - Pink Pout,Lipstick,4.0,250,0.75
71833,Too Faced,Lip Injection Extreme,Lip Treatments,3.4,249,0.55
18641,Blistex,DCT for lips - Daily Conditioning Treatment SPF 20,Lip Treatments,4.2,249,0.81
47134,MAC,Up The Amp,Lipstick,4.7,248,0.89
6193,Blistex,Medicated Lip Ointment,Lip Treatments,4.3,247,0.83
132979,Revlon,Just Bitten Lipstain + Balm,Lips,3.3,246,0.56
3382,Chanel,Glossimer - Blizzard ,Lip Gloss,4.1,244,0.74
149349,L'Oreal,Colour Riche Balm,Lips,3.8,242,0.7
