category,pid,brandname,pname,num_of_reviews,p_score
파운데이션,523211,포니이펙트,[포니이펙트] 커버스테이 쿠션 파운데이션,1675,4.5
파운데이션,523217,포니이펙트,[포니이펙트][증정] 에버래스팅 쿠션 파운데이션,834,4.5
파운데이션,36190,포니이펙트,[포니이펙트] 커버 핏 파우더 파운데이션,731,4.0
파운데이션,21476,더마콜,[더마콜] 메이크업 커버 파운데이션,475,4.5
파운데이션,504689,미샤,[미샤] 디 오리지널 텐션 팩트,444,4.5
파운데이션,519293,어퓨,[어퓨] BEST 마데카 기초 라인 14종 ,375,4.5
파운데이션,25006,포니이펙트,[포니이펙트] 심리스 파운데이션,354,4.5
파운데이션,4181,에스티로더,[에스티로더] 더블 웨어 파운데이션,336,4.5
파운데이션,526991,한스킨,[한스킨] 베이스 메이크업 모음전,284,4.5
파운데이션,15241,레브론,[레브론] 컬러스테이 메이크업 파운데이션 8종,277,4.5
파운데이션,523068,브이디엘,[VDL] 퍼펙팅 래스트 파운데이션 4종,277,4.5
파운데이션,527256,이엘에프,[e.l.f] 메이크업 전제품 1+1 ,269,4.0
파운데이션,22685,바닐라코,[바닐라코] 커버10 컬렉션,254,4.5
파운데이션,505358,어퓨,[어퓨] 트리플웨어 파운데이션 5종,249,4.5
파운데이션,505263,맥,[맥] 라이트풀 C 퀵 피니시 컴팩트 4종,211,4.5
파운데이션,527257,스와니코코,[스와니코코] 쿠션 모음전,185,4.5
파운데이션,14764,아리따움,[아리따움] 올데이 페이스 메이크업 5종,175,4.5
파운데이션,515102,닥터마인드,[닥터마인드] 닥터마인드 모음전,148,4.5
파운데이션,3650,조르지오아르마니,[조르지오 아르마니] 실크 파운데이션,137,5.0
파운데이션,24978,에뛰드하우스,[에뛰드] 플레이 101 스틱 ,134,4.5
파운데이션,14303,더샘,[더샘] 에코 소울 리얼 핏 파운데이션,109,4.5
파운데이션,512268,어퓨,[어퓨] 수부지 라인 10종,106,4.5
파운데이션,506509,캐트리스,[캐트리스]HD 리퀴드 커버리지 파운데이션,95,4.5
파운데이션,516577,아임미미,[아임미미] 아임 메쉬 쿠션,88,4.0
파운데이션,505692,바바나나,[파머메이커] 자몽팩트 2종,80,4.5
파운데이션,518805,더샘,[더샘] 하라케케 스킨케어 모음전,77,4.5
파운데이션,520127,클리오,[클리오] 누디즘 베이스 메이크업 모음전 12종,76,4.5
파운데이션,8756,파리베를린,[파리베를린] 르미니 플루이드 파운데이션,72,4.5
파운데이션,34755,메이블린,[메이블린 뉴욕] 에이지 리와인드 컨실러 &  파운데이션,70,4.5
파운데이션,523698,어퓨,[어퓨] 퍼스널 톤 파운데이션 12종,69,4.0
파운데이션,505383,에뛰드하우스,[에뛰드] 애니 쿠션 크림 필터 16종 ,58,4.5
파운데이션,29162,한율,[한율] 커버 파운데이션 2종,57,4.5
파운데이션,2576,메이크업포에버,[메이크업포에버] 리프트 파운데이션,56,4.5
파운데이션,24508,메이크업포에버,[메이크업포에버] 울트라 HD 파운데이션,55,4.5
파운데이션,38009,더샘,[더샘] 커버 퍼펙션 컨실러 파운데이션,52,4.5
파운데이션,520883,잉가,[잉가] 커버 피팅 타투 파운데이션,51,4.0
파운데이션,33981,뷰티트릿,[뷰티트릿] 컨실러 팔레트 2종,49,4.5
파운데이션,524837,이자녹스,[이자녹스] 쿠션 파운데이션 12종,48,4.5
파운데이션,514982,닥터엘시아,[닥터엘시아] 오로라 커버 쿠션,46,4.0
파운데이션,511792,아임미미,[아임미미] 아임 쉴드 베이스 코트,44,4.5
파운데이션,520129,아리따움,[아리따움] 풀 커버 라인,43,4.5
파운데이션,507677,롬앤,[롬앤] 퍼펙트 핏팅 파운데이션 4종,50,4.5
파운데이션,18872,루나,[루나] 스틱 파운데이션 (브러시 증정),39,5.0
파운데이션,518059,퓨어림,[퓨어림] 데이 라이트 쿠션 2종 ,39,4.5
파운데이션,501437,리르,[리르] 듀얼스틱 3종&퍼프,39,4.5
파운데이션,518938,페리페라,[페리페라] 에어리 잉크쿠션 3종,38,4.0
파운데이션,2578,슈에무라,[슈에무라] 더 라이트벌브 플루이드 파운데이션,37,4.5
파운데이션,13030,바비브라운,[바비브라운] 인텐시브 스킨 세럼 파운데이션 ,30,4.5
파운데이션,31420,메론,[메론] 셀레브레 프로 HD 파운데이션,28,4.5
파운데이션,519735,아가타,[아가타] 아가타 리얼 기프트 6종세트♥,28,4.0
파운데이션,26803,더샘,[더샘] 에코 소울 온천수 세럼 파운데이션 2종,27,4.0
파운데이션,517776,닥터마인드,[닥터마인드] 포어필 쿠션,27,0.0
파운데이션,505264,마몽드,[마몽드] 하이 커버 리퀴드 쿠션 3종,26,4.0
파운데이션,517193,이니스프리,[이니스프리] 스마트 드로잉 18종,25,4.5
