,pid,pname,text,date,score,like_c,skin_type,repurchased
0,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],너무좋아요굳다쓰면또사려구요잘뜨지도않아요완전인생템!,2018-05-22,5.0,0, , 
1,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],태닝을 해서 피부색과 잘 맞구요 여름용으로 쓰기 괜춘ㅇㅇ 네갠가 다섯개째 쓰고 잇어요,2018-05-21,3.5,0, , 
2,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],항상이것만 써요 제 인생템입니다 !!커버좋구요 색이 너무 제 피부랑 잘맞아서 다른아이들이 나오면 혹해서 사봤다가 결국에는 바로 돌아오지요ㅎㅎ미미 인생템 !!쟁여두고 써요 ㅎㅎ,2018-05-21,5.0,0, , 
3,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],이것도 또삿는데 피부어두워보이지도않고 좋아요,2018-05-21,5.0,0, , 
4,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],또삿는데 넘좋아요 자주쓰고잇어여앞으로도 계속쓸꺼예여,2018-05-21,5.0,0, , 
5,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],처음에 바를때는 조금 건조하게 느껴지고 잘 안먹는거같았는데 다하고 난뒤에는 뽀송하게 마무리되고 잘 묻어나지도 않아서 너무 좋았어요~들뜸도 거의 없어서 인생템을 찾은거같아요!!,2018-05-21,5.0,0, , 
6,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],일단 쿠션파데 자체는 정말 맘에듭니다 피부가 속은 건조한데 유분기가 넘치는 피부인데 첫날 기초를 대충 스킨로션만 했을때는 바르고 몇분뒤 건조한느낌?이 들더라구요 그래도 화장이 뜨거나 그런거없이 피부표현도 깔끔하고 보송한 마무리감이 좋았습니다 그리고 둘쨋날엔 기초를 좀 더 꼼꼼히하고 바르니 건조함은 느껴지지않더군요 12시간 정도 주방에서 일을하는데 요즘같이 더운날 주방은 그냥 불가마같은데 화장이 무너지지않네요땀이 많이 나는데도 흘러내린다거나 번지는건 거의??아예?없고 다만 얼굴에 광이 납니다 번지르르한데 화장이 무너지면서 개떡같이 번지르르한게 아니라 피부표현은 나름 멀쩡한데 번지르르..? 원래 쓰던건 이니*프리에 파데인데 커버력 제일 높고 매트한걸 써도 일하면 거의 4시간에 한번씩 수정을 해줘야하는데 포니쿠션파데는 10시간 지난 후에도 괜찮더라구요 색은 밝게 나온건지 잘 모르겠지만 다음번엔 22호?로 구매해볼려구요 커버력도 맘에듭니다 적은 양으로도 충분히 바르고 얇게 발라도 커버가 잘되네요 그런데 뭔가 애매하게 얼굴이 갑갑한 느낌은 듭니다 그래도 만족스러워요  구매할까말까 고민했는데 앞으로 계속 쓸것같네요,2018-05-19,4.0,0, , 
7,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],오자마자 뜯었는대 소리질렀어요 ㅎㅎ 너무이쁘고 색도 괜찮고 너뮤 좋아요 저는 무너지지는 않고 그대로에요 처음써보는대 너무좋아요 계속쓸거같아용근데 펴프때문인지 딱! 안닫히내요 ㅠ 그거빼고는 좋아요😊,2018-05-16,4.5,0, , 
8,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],재구매하구 친구들한테도 맨날 추천해요!!!!!!,2018-05-15,5.0,0, , 
9,523211,['[포니이펙트] 커버스테이 쿠션 파운데이션'],갓포니라고 하는 이유가 있군요!커버력은 두말할 필요도없고 지속력도 나쁘지는않았어요. 다만 지속력과 더럽게 무너지는 걸방지하기 위해 양조절은 필수!디자인도 완전 취저같이온 증정품도 잘쓰고 있고 파워지성인저는 완전 만족합니다!!♡,2018-05-14,5.0,0, , 
