category,brandname,pid,pname,p_score,num_of_reviews
bb크림,미샤,32266,미사 초보양 비비크림 SPF30 PA++,4.0,83
bb크림,아리따움,32587,풀커버 비비크림 SPF50+ PA+++,3.2,39
bb크림,닥터자르트,31886,실버라벨 비비크림,4.0,54
bb크림,더페이스샵,32012,파워 퍼펙션 BB크림 SPF37 PA++,4.2,36
bb크림,페리페라,32967,페리스 잉크 드롭 비비,4,26
bb크림,에뛰드하우스,27070,페이스 블러 SPF33 PA++,4.0,12
bb크림,에뛰드하우스,7169482,진주알 맑은 비비크림 모이스트,4.3,13
bb크림,비알티씨,3059892,자스민워터비비크림,3.8,8
bb크림,에뛰드하우스,27130,진주알 맑은 BB크림 커버&브라이트핏,3.8,7
bb크림,닥터자르트,5008042,리쥬비네이팅 뷰티밤,4.5,2
bb크림,미샤,32306,M 퍼펙트 커버 비비 크림 SPF42 PA+++,4,17
bb크림,바닐라코,5680961,잇 샤이니 쉬머 비비,3.7,4
bb크림,미샤,32280,시그니처 리얼 컴플릿 비비크림 SPF25 PA++,4.0,23
bb크림,닥터자르트,56958,실버라벨 플러스 비비크림,4.4,5
bb크림,나인위시스,2382756,VB톤업크림,4,8
bb크림,토니모리,32908,루미너스 여신 광채 BB크림,3.8,19
bb크림,마몽드,32162,토탈 솔루션 모이스처 BB SPF 35 PA++,4,8
bb크림,더마허브,6944473,셀 화이트닝 비비,4.6,3
bb크림,바닐라코,5696160,프라임 프라이머 비비,3.6,5
bb크림,에뛰드하우스,27092,빅 커버 컨실러 비비 SPF50+ PA+++,4,23
bb크림,루나,6810803,래스팅 비비팩트,3.6,3
bb크림,한스킨,6112581,바이오 오리진 링클톡 BB크림 SPF30 PA++,4,3
bb크림,차앤박화장품,71047,닥터레이 리바이브 스킨비비크림,3.3,3
bb크림,닥터지,71761,브라이트닝 밤 SPF30 PA++,4.5,2
bb크림,스킨79,72755,디 오리엔탈 골드 플러스 비비크림 SPF30 PA++,5,1
bb크림,나나스비,2380431,샤이니 비비크림 SPF23 PA++,3,1
bb크림,바닐라코,5681182,잇 래디언트 글로우 비비,4,2
bb크림,토니모리,32910,루미너스 여신광채 블러 비비 SPF37 PA++,3.6,9
bb크림,한스킨,55093,바이오 오리진 로얄 앰플 비비 EX,3.6,13
bb크림,닥터자르트,62599,래디언스 비비크림,3.5,2
bb크림,닥터영,6328418,이피 펄 브라이트닝 밤 SPF35 PA++,4,1
bb크림,라미화장품,8667938,마귀할멈 붕대 비비크림 SPF30 PA++,4,2
bb크림,캐시캣,6259333,틴티드 비비크림 SPF30 PA++,4.5,2
bb크림,에스쁘아,6322957,베어스킨 부스팅 밤,4,2
bb크림,한율,28941,비비크림 SPF 50+ PA+++,4.3,3
bb크림,에뛰드하우스,27184,진주알 맑은 BB크림 블루밍 핏 SPF30 PA++,4,3
bb크림,에뛰드하우스,27192,진주알 맑은 BB크림 코튼핏 SPF30 PA++,3.4,5
bb크림,차앤박화장품,71045,에이클린 포어 컨트롤 비비,4,4
bb크림,로레알파리,4489813,루센트매직 비비에센스,4,2
bb크림,로레알파리,4492459,루센트 매직 비비 에센스 SPF19 PA++,4,2
bb크림,닥터자르트,5007786,BB 바운스 뷰티 밤 모이스트,3.5,6
bb크림,더페이스샵,5231047,클린 페이스 오일프리 비비크림,5,3
bb크림,에끌라두,5775239,플러스컬렉션 레제네 블레미쉬 밤,4.3,3
bb크림,아이오페,50693,UV 쉴드 선 비비 SPF 50+ PA+++,4,3
bb크림,입큰,6184394,마이 포어 핏 비비 SPF35 PA++,0,0
bb크림,닥터자르트,31880,디스어포어 비비크림,3.8,5
bb크림,닥터자르트,31881,블랙라벨 비비크림,3.5,2
bb크림,미샤,32277,시그너처 비비케익 SPF50+ PA+++,2.7,8
bb크림,어퓨,32672,에그 필 업 비비크림 SPF35 PA+++,3.6,3
bb크림,스킨톡,3060285,DD크림,5,2
bb크림,랑콤,58760,UV 엑스퍼트 BB 컴플리트,3.1,16
bb크림,한스킨,33008,수퍼라이트 터치 비비크림 SPF30 PA++,4,14
bb크림,애터미,32645,비비크림 SPF30 PA++,4.0,12
bb크림,닥터자르트,6175121,시카페어 리커버,3.4,12
bb크림,셀퓨전씨,6330385,스킨 블레미쉬 밤,3.7,11
bb크림,클레어스,32855,일루미네이팅 서플 블레미쉬크림 SPF40++,4.2,10
bb크림,에뛰드하우스,7169318,진주알 맑은 에센스 비비밤,4.1,9
bb크림,아리따움,32586,풀커버 비비케익 SPF42 PA++,3.7,9
bb크림,잇츠스킨,32789,프레스티지 끄렘 데스까르고 비비,3.2,8
bb크림,셀퓨전씨,50657,더마 블레미쉬 밤,4,8
bb크림,마녀공장,1954206,허벌 후레쉬 모이스트 BB,3,6
bb크림,한스킨,72293,수퍼 라이트 터치 비비 쿠션,3.5,6
bb크림,한스킨,6112305,수퍼 쓰리 솔루션 비비크림 SPF35 PA++,3.4,5
bb크림,네이처리퍼블릭,31819,슈퍼 오리진 콜라겐 비비크림 SPF25 PA++,3.2,5
bb크림,비쉬,6215558,애라BB 미네랄 비비라이트크림,4.6,5
bb크림,스와니코코,7636941,퍼멘테이션 펩타인 블레미쉬 밤,4.6,5
bb크림,바루랩,21737059,바루솔 엑스퍼트 벨벳 세럼 비비크림,4.2,4
bb크림,유리피부,9637149,셀룸 아마이드 BB크림 SPF29 PA++,4,4
bb크림,뉴스킨,2439599,뉴컬러 라이트스테이 비비 컴팩트 SPF30 PA++,4.5,4
bb크림,슈에무라,6347824,워터 글로우 BB 크림 SPF 30 PA++,4.5,4
bb크림,투쿨포스쿨,6422757,아티파이 애프터스쿨 BB 파운데이션 런치박스 SPF37 PA++,4.5,4
bb크림,차앤박화장품,6792497,닥터 더마 비비비 SPF50+ PA+++,4.5,4
bb크림,스와니코코,7636773,아스타잔 블레미쉬 밤,4.7,4
bb크림,한스킨,26284837,프리미엄 수퍼 매직 비비 크림 SPF30 PA++,3.3,3
bb크림,더블유랩,7678331,훈녀크림,3.2,4
bb크림,셀라피,72746,저스트 올 비비크림,5,3
bb크림,더샘,5174074,아쿠아 픽스 유브이 쿨링 쿠션,5,1
bb크림,미샤,5605972,시그너처 컴플렉션 코디네이팅 비비크림,5,1
bb크림,설화수,6287824,자정 에센스비비,5,1
bb크림,헬렌박,19677342,비밍미러 비비 엑스트라 모이스처,5,1
bb크림,라포랩,9431819,허브비비 크림,5,1
bb크림,랑콤,24227021,UV 엑스퍼트 GN 쉴드 비비 컴플리트,5,2
bb크림,닥터자르트,24246426,홀리스킨 비비 메이트 스틱,5,1
bb크림,케이트,7924929,파우더리 무스 BB,5,2
bb크림,더샘,5228076,에코 소울 루미너스 오리지널 비비,5,1
bb크림,라포랩,9225572,허브 BB,5,1
bb크림,뷰티모리,35858859,크리스탈 엑스퍼트 비비크림,5,1
bb크림,동인비,22666929,동인비영 쿠션비비,5,2
bb크림,칠하라,9947588,스키니핏 비비 크림 SPF50+ PA+++,5,1
