brandname,pid,pname,age,tags,repurchased,like_c,concern_list,skin_type,score,date,text
닥터자르트,31886,실버라벨 비비크림,26,"['지속력좋은', '커버력좋은', '촉촉한', '인생템']",1,1,"잡티,민감성,트러블",복합성,4,2018-05-24,"여드름치료하면서 촉촉하게 쓸 비비를 찾다가 닥터자르트 샘플받아서 써보고 커버력과 지속력에 2통째 쓰고 있어요. 커버력도 좋고 촉촉하게 잘발립니다. 손으로 모공사이사이 눌러 채워주고 똥퍼프로 바르면 자연스럽게 커버되고 매끈매끈해보여요!! 
색이 회끼가 많이 돌고 그래서 갈아탈까 했는게 홍조커버도 잘되고 파데라 섞발했을 때도 좋고 적은 양으로도 잘발려서 이것만 써요.
여러비비써봤지만 여기꺼가 제일 지속력도 좋고 유분올라왔을 때도 윤기나는 정도여서 좋았어요. #지속력좋은 #커버력좋은 #촉촉한 #인생템 "
셀퓨전씨,50657,더마 블레미쉬 밤,29,"['지속력좋은', '커버력좋은', '자연스러운', '촉촉한', '인생템', '추천템']",1,4,"잡티,트러블,피지과다",복합성,5,2018-05-24,"맨날 쓰는 bb 사실 파운데이션도 많지만 아침에
제대로 바르기가 시간이 부족해서 비비를 자주자주 바르는데요 이것만 몇년째쓰는것 같아요! 잡티도 잘 가려주고 또 엄청 촉촉하게 피부가 좋아보여서 딱히 다른걸로 갈아탈 이유가 없어서 늘상 사용하는템이에요. 지성인데도 잘 맞아요☝🏻 #지속력좋은 #커버력좋은 #자연스러운 #촉촉한 #인생템 #추천템 "
에스티로더,32707,더블웨어 파운데이션,24,"['인생템', '지속력좋은', '커버력좋은']",1,2,"모공,트러블,피지과다",지성,5,2018-05-24,"20살부터 8통정도 쓴 #인생템 👍👍👍
없으면 불안해서 해외나갈 때마다 💚면세점 쇼핑리스트 1위 #지속력좋은 #지속력좋은 #커버력좋은 #커버력좋은 
👀기름폭발 지성들은 무조건 써야하는 파데
👉지성친규들한테 추천해서 욕먹은 적 없는 파데이면서
건성친구들도 의외로 좋아해서 당황한 파데 👈
지성은 무조곤 쓰세요 그냥 쓰세요
단점을 찾자면 가격😭 그래서 면세점에서 몇개씩 사오는 템"
에뛰드하우스,27052,더블 래스팅 파운데이션 SPF34 PA++,23,"['지속력좋은', '커버력좋은', '추천템', '촉촉한']",0,1,"각질,건조함,트러블",건성,4,2018-05-24,"#지속력좋은 #커버력좋은 #추천템 #촉촉한 
에뛰드 파운데이션 제품은 처음 써보는데 👍🏻👍🏻👍🏻
지속력도 괜찮고 너무 매트하지 않아서 좋았어용!! 요즘 이거만 사용하고 있어요ㅎㅎㅎ 여름에도 무난하게 데일리로 자주 사용할 것 같아용!!!"
브이디엘,25191,퍼펙팅 래스트 파운데이션,26,"['커버력좋은', '지속력좋은', '인생템', '추천템']",0,0,"모공,각질,건조함",건성,4,2018-05-24,"현재까지 사용해본 파데중에 탑3 안에 드는 제품!
물먹인 똥퍼프로 바르면 아주 촥 밀착됩니다~ 그냥바르면 조금 건조하니 꼭 물먹인퍼프로 발라주세용 
같은시리즈 메탈쿠션은 휴대용으로 들고다녀용 #커버력좋은 #지속력좋은 #커버력좋은 #인생템 #추천템 "
랑콤,32081,뗑 미라클 파운데이션,24,['비추템'],0,0,"잡티,피부톤,트러블",중성,3,2018-05-24,엄청 촉촉하고 많은 분들이 인생템이라해서 샀는데 .. 글쎄 ... 촉촉하긴한데 커버력 0에 수렴해요 ㅋㅋㅋ 커버할 거 많은 분들한테는 비추.. 글구 색상도 지나치게 밝고 하얗다고해야하나..? 일반 피부톤이 아닌 창백톤이에요 #비추템
더페이스샵,19746345,잉크래스팅 파운데이션 슬림핏,22,"['지속력좋은', '커버력좋은', '추천템']",0,2,"모공,잡티,트러블",중성,4,2018-05-24,커버력도 좋고 묻어남도 적어서 좋은데 비립종 좁쌀여드름 부각이 좀 있는거같아요 #지속력좋은 #커버력좋은 #추천템 
더페이스샵,19746345,잉크래스팅 파운데이션 슬림핏,22,[],0,3,"각질,건조함,피지과다",복합성,4,2018-05-24,건성인데 조금 건조했어요! 그리고 색상이 좀 하얘서 (본인 23호) 화장이 떠보일 수 있어요 그리고 살짝 색이 회색빛이 돌아서 색상이 별로 안 예뻤어요ㅠ그래도 피부 표현 같은 건 ㄱㅊ아요
더페이스샵,19746345,잉크래스팅 파운데이션 슬림핏,25,[],1,3,"모공,민감성,피지과다",복합성,4,2018-05-24,"저는 수분부족 지성인데 정말 매트하다는거 안가리고 다 
써봤어요 그유명하다는 에스티로*라던지 백화점 로드샵 해외제품 다 써봤지만 정말 가성비라는 말에 딱 적합한 파데예요!! 건조한 날씨엔 소량의 수분크림이나 촉촉한 베이스를 조금 섞어서 쓰면 피부에 잘먹어요!! 강추입니당"
아임미미,41582,아임 멀티 스틱,25,[],0,2,트러블,복합성,3,2018-05-24,피부에 바르고 슥슥 문지르면 묽게 펴지고 자연스럽게 발색이 되지만 쉐딩으로 쓰기에는 조금 붉은기가 있어서 비추합니다!
