,category,num_of_reviews,product_id
0,아이섀도우,,92080
1,파우더,,89507
2,크림,,73955
3,클렌징비누,,99685
4,마스크시트,,99684
5,클렌징비누,,59960
6,클렌징비누,,79043
7,팩트,,86009
8,선블록,,93349
9,마스카라,,39744
10,크림,,81103
11,아이섀도우,,103277
12,톤업크림,,79315
13,컨실러,,50053
14,"립글로스/락커,립틴트",,89982
15,페이스소품,,105154
16,"립글로스/락커,립틴트",,37503
17,하이라이터,,81117
18,브러쉬,,81116
19,핸드케어,,37242
20,브러쉬,,81111
21,"립글로스/락커,블러셔",,94397
22,브러쉬,,81115
23,브러쉬,,81112
24,브러쉬,,81113
25,브러쉬,,81114
26,헤어소품,,81110
27,크림,,83629
28,포인트리무버,,81106
29,크림,,33627
30,클렌징폼,,83800
31,립틴트,,81104
32,"립틴트,블러셔",,67289
33,미스트,,81107
34,크림,,83631
35,립스틱,,39321
36,아이섀도우,,89988
37,아이섀도우,,43722
38,아이섀도우,,88324
39,팩트,,67337
40,팩트,,96657
41,"립밤,립틴트",,91219
42,파운데이션,,67345
43,립틴트,,105878
44,"립글로스/락커,블러셔",,67341
45,"립글로스/락커,립틴트",,33449
46,스펀지/퍼프,,99271
47,에센스,,81108
48,클렌징오일,,83533
49,파운데이션,,33626
50,아이섀도우,,101764
51,클렌징폼,,81105
52,쉐딩,,81118
53,아이라이너-펜슬&젤,,34296
54,클렌징폼,,83802
55,"링클케어,화이트닝케어,스킨",,20032
56,로션,,20033
57,"에센스,링클케어,화이트닝케어",,20031
58,크림,,73861
59,"로션,링클케어,화이트닝케어",,20030
60,"스킨,링클케어",,20029
61,비비크림,,20036
62,클렌징폼,,20034
63,"크림,화이트닝케어",,20037
64,"크림,링클케어,화이트닝케어",,20038
65,"크림,링클케어",,20042
66,"메이크업베이스,베이스프라이머",,20035
67,"크림,링클케어,화이트닝케어",,20040
68,"크림,링클케어",,20041
69,크림,,20039
70,스킨,,54785
71,마스크시트,,21723
72,"에센스,트러블케어",,75679
73,마스크시트,,81006
74,크림,,66385
75,"핸드케어,아로마테라피",,87006
76,마스크시트,,77119
77,클렌징오일,,73138
78,마스크시트,,78614
79,"클렌징폼,스크럽/필링",,21662
80,마스크시트,,93816
81,클렌징티슈,,97752
82,미스트,,72663
83,마스크시트,,91967
84,"에센스,화이트닝케어",,97755
85,선블록,,92139
86,마스크시트,,96269
87,크림,,52797
88,클렌징폼,,20962
89,에센스,,97750
90,바디슬리밍,,41670
91,에센스,,73136
92,필오프,,82077
93,마스크시트,,73139
94,바디슬리밍,,1438
95,"에센스,화이트닝케어",,20075
96,스크럽/필링,,54613
97,"크림,트러블케어",,72664
98,선블록,,90319
99,필오프,,85344
100,트러블케어,,33644
101,에센스,,75677
102,마스크시트,,105451
103,마스크시트,,46945
104,선블록,,90869
105,크림,,86165
106,"모공케어,마스크시트",,20987
107,마스크시트,,66813
108,마스크시트,,82080
109,스크럽/필링,,89183
110,크림,,56897
111,마스크시트,,25431
112,크림,,80830
113,선블록,,34800
114,크림,,100130
115,크림,,94872
116,"크림,트러블케어",,19695
117,크림,,89405
118,마스크시트,,91450
119,마스크시트,,90672
120,클렌징티슈,,83011
121,"워시오프,클렌징비누",,49573
122,필오프,,56837
123,크림,,24108
124,립밤,,80161
125,미스트,,75991
126,클렌징비누,,85270
127,마스크시트,,33438
128,마스크시트,,85933
129,에센스,,96736
130,대형,,106413
131,중형,,93246
132,수면팩,,75684
133,클렌징폼,,76349
134,필오프,,101754
135,스킨,,97302
136,마스크시트,,97305
137,스킨,,97301
138,에센스,,97303
139,파운데이션,,88260
140,브러쉬,,97998
141,아이소품,,37299
142,여성향수,,78585
143,여성향수,,78584
144,크림,,97308
145,여성향수,,78587
146,립밤,,101329
147,립글로스/락커,,61857
148,아이브로우-마스카라&리퀴드,,82065
149,아이섀도우,,80080
150,마스카라,,44729
151,브러쉬,,27479
152,립스틱,,27398
153,브러쉬,,50397
154,네일컬러,,81618
155,아이섀도우,,2732
156,파운데이션,,80780
157,립밤,,78935
158,립밤,,93869
159,아이라이너-펜슬&젤,,27686
160,립스틱,,91982
161,아이섀도우,,78575
162,하이라이터,,78489
163,아이라이너-펜슬&젤,,81616
164,아이브로우-펜슬,,78932
165,"아이섀도우,블러셔",,104960
166,베이스프라이머,,74263
167,마스카라,,89707
168,네일컬러,,1526
169,립스틱,,55937
170,하이라이터,,78492
171,선스프레이,,76458
172,브러쉬,,5835
173,블러셔,,98567
174,페이스소품,,97299
175,립밤,,81361
176,립스틱,,105360
177,컨실러,,72178
178,아이라이너-리퀴드,,103162
179,스펀지/퍼프,,76456
180,아이브로우-마스카라&리퀴드,,104185
181,스펀지/퍼프,,39708
182,아이섀도우,,91942
183,"파운데이션,쿠션타입",,89705
184,비비크림,,5832
185,립밤,,72176
186,블러셔,,91939
187,블러셔,,40068
188,블러셔,,94502
189,블러셔,,34390
190,립틴트,,84857
191,브러쉬,,27478
192,아이섀도우,,99989
193,블러셔,,90627
194,립스틱,,53961
195,블러셔,,88908
196,립스틱,,81617
197,립스틱,,87541
198,립틴트,,98930
199,아이섀도우,,81615
200,아이섀도우,,97528
201,블러셔,,99990
202,블러셔,,11492
203,베이스프라이머,,74265
204,컨실러,,5830
205,베이스프라이머,,47685
206,선쿠션,,77300
207,"립라이너,립틴트",,89703
208,파운데이션,,34314
209,블러셔,,78576
210,메이크업베이스,,74264
211,크림,,5829
212,파운데이션,,56909
213,"하이라이터,쉐딩",,77424
214,아이섀도우,,78574
215,블러셔,,48461
216,립스틱,,80560
217,립스틱,,14439
218,아이섀도우,,91981
219,립글로스/락커,,105710
220,"파운데이션,쿠션타입",,91979
221,"파운데이션,쿠션타입",,49165
222,메이크업베이스,,74266
223,"하이라이터,쉐딩",,101099
224,여성향수,,78583
225,쿠션타입,,49169
226,여성향수,,78589
227,립글로스/락커,,73150
228,파운데이션,,16798
229,립틴트,,69417
230,립글로스/락커,,80604
231,하이라이터,,2703
232,립스틱,,18523
233,아이섀도우,,80198
234,립글로스/락커,,1954
235,여성향수,,78586
236,립스틱,,55929
237,아이섀도우,,451
238,하이라이터,,78493
239,"하이라이터,바디크림,바디밤/파우더",,1453
240,브러쉬,,98561
241,파우더,,98563
242,마스크시트,,98564
243,마스크시트,,98559
244,아이브로우-마스카라&리퀴드,,72581
245,아이브로우-펜슬,,92088
246,크림,,99163
247,헤어에센스,,78579
248,헤어에센스,,78582
249,헤어에센스,,78580
250,베이스프라이머,,100426
251,여성향수,,78588
252,톤업크림,,56885
253,아이섀도우,,27685
254,립스틱,,55921
255,립글로스/락커,,47689
256,아이섀도우,,5831
257,립스틱,,37296
258,"하이라이터,블러셔",,816
259,페이스오일,,72177
260,"메이크업베이스,하이라이터,쉐딩",,89704
261,"아이브로우-펜슬,아이브로우-마스카라&리퀴드",,89709
262,메이크업픽서,,88907
263,립밤,,88400
264,아이라이너-리퀴드,,77303
265,네일컬러,,1528
266,립밤,,98568
267,컨실러,,5833
268,쉐딩,,72179
269,파우더,,89706
270,립스틱,,78577
271,염색제/퍼머제,,91046
272,미스트,,11319
273,립스틱,,53725
274,클렌징폼,,72579
275,아이브로우-마스카라&리퀴드,,72580
276,헤어에센스,,78578
277,립틴트,,3044
278,수면팩,,72577
279,헤어에센스,,78581
280,네일컬러,,1527
281,립글로스/락커,,113
282,아이라이너-펜슬&젤,,5834
283,립스틱,,92714
284,수딩젤/팩,,23168
285,트러블케어,,99075
286,트러블케어,,35577
287,씨씨크림,,87391
288,클렌징폼,,61014
289,바디워시,,89897
290,핸드케어,,81330
291,"아이섀도우,블러셔,아이브로우-파우더",,84861
292,핸드케어,,86262
293,헤어스타일링,,103803
294,"립스틱,아이섀도우",,92572
295,여성향수,,14283
296,여성향수,,34135
297,여성향수,,63929
298,여성향수,,103881
299,남성향수,,14282
300,여성향수,,14441
301,여성향수,,1622
302,제모제/용품,,89547
303,스크럽/필링,,100860
304,크림,,98773
305,크림,,86420
306,크림,,81766
307,미스트,,89097
308,크림,,89096
309,뷰러,,81570
310,아이케어,,100470
311,선블록,,70113
312,로션,,22383
313,크림,,22390
314,스킨,,22384
315,아이케어,,22393
316,로션,,22385
317,에센스,,22389
318,"클렌징폼,청결제",,22387
319,에센스,,22388
320,비비크림,,22373
321,페이스오일,,27434
322,선블록,,79470
323,수딩젤/팩,,68045
324,수딩젤/팩,,22370
325,바디크림,,22374
326,크림,,22391
327,바디미스트,,22382
328,바디미스트,,22380
329,"크림,화이트닝케어",,22366
330,샴푸,,22378
331,스크럽/필링,,22386
332,바디미스트,,22367
333,바디미스트,,22379
334,바디미스트,,22381
335,클렌징폼,,103611
336,마스크시트,,14461
