category,num_of_reviews,product_id
아이섀도우,,92080
파우더,,89507
크림,,73955
클렌징비누,,99685
마스크시트,,99684
클렌징비누,,59960
클렌징비누,,79043
팩트,,86009
선블록,,93349
마스카라,,39744
크림,,81103
아이섀도우,,103277
톤업크림,,79315
컨실러,,50053
"립글로스/락커,립틴트",,89982
페이스소품,,105154
"립글로스/락커,립틴트",,37503
하이라이터,,81117
브러쉬,,81116
핸드케어,,37242
브러쉬,,81111
"립글로스/락커,블러셔",,94397
브러쉬,,81115
브러쉬,,81112
브러쉬,,81113
브러쉬,,81114
헤어소품,,81110
크림,,83629
포인트리무버,,81106
크림,,33627
클렌징폼,,83800
립틴트,,81104
"립틴트,블러셔",,67289
미스트,,81107
크림,,83631
립스틱,,39321
아이섀도우,,89988
아이섀도우,,43722
아이섀도우,,88324
팩트,,67337
팩트,,96657
"립밤,립틴트",,91219
파운데이션,,67345
립틴트,,105878
"립글로스/락커,블러셔",,67341
"립글로스/락커,립틴트",,33449
스펀지/퍼프,,99271
에센스,,81108
클렌징오일,,83533
파운데이션,,33626
아이섀도우,,101764
클렌징폼,,81105
쉐딩,,81118
아이라이너-펜슬&젤,,34296
클렌징폼,,83802
"링클케어,화이트닝케어,스킨",,20032
로션,,20033
"에센스,링클케어,화이트닝케어",,20031
크림,,73861
"로션,링클케어,화이트닝케어",,20030
"스킨,링클케어",,20029
비비크림,,20036
클렌징폼,,20034
"크림,화이트닝케어",,20037
"크림,링클케어,화이트닝케어",,20038
"크림,링클케어",,20042
"메이크업베이스,베이스프라이머",,20035
"크림,링클케어,화이트닝케어",,20040
"크림,링클케어",,20041
크림,,20039
스킨,,54785
마스크시트,,21723
"에센스,트러블케어",,75679
마스크시트,,81006
크림,,66385
"핸드케어,아로마테라피",,87006
마스크시트,,77119
클렌징오일,,73138
마스크시트,,78614
"클렌징폼,스크럽/필링",,21662
마스크시트,,93816
클렌징티슈,,97752
미스트,,72663
마스크시트,,91967
"에센스,화이트닝케어",,97755
선블록,,92139
마스크시트,,96269
크림,,52797
클렌징폼,,20962
에센스,,97750
바디슬리밍,,41670
에센스,,73136
필오프,,82077
마스크시트,,73139
바디슬리밍,,1438
"에센스,화이트닝케어",,20075
스크럽/필링,,54613
"크림,트러블케어",,72664
선블록,,90319
필오프,,85344
트러블케어,,33644
에센스,,75677
마스크시트,,105451
마스크시트,,46945
선블록,,90869
크림,,86165
"모공케어,마스크시트",,20987
마스크시트,,66813
마스크시트,,82080
스크럽/필링,,89183
크림,,56897
마스크시트,,25431
크림,,80830
선블록,,34800
크림,,100130
크림,,94872
"크림,트러블케어",,19695
크림,,89405
마스크시트,,91450
마스크시트,,90672
클렌징티슈,,83011
"워시오프,클렌징비누",,49573
필오프,,56837
크림,,24108
립밤,,80161
미스트,,75991
클렌징비누,,85270
마스크시트,,33438
마스크시트,,85933
