,review,score,tag
0,엄청빨리 받았네여 아직사용전이구요 사용후 괜찮으면 또찾을게요 번창하세요,5,배송 빨라요
1,비비크림 1+1 1개 잘 받았습니다. 리뷰가 좋아 구입했는데 아직 사용전이라 잘 모르겠구요 암튼 잘 사용할께요..^^,4,배송 빨라요
2,늘 사용하는제품입니다. 그런데 비비크림 샘플은 오지않았어요ㅎ,5,"배송 빨라요,발림성 좋아요,발색 좋아요,지속력 오래가요"
3,상품평보고 샀는데 만족이요 그런데 쫌 매트해요,4,"배송 보통이에요,발림성 보통이에요,발색 보통이에요,지속력 보통이에요"
4,평이좋아 남편이 필요하다해서 구매했어요. 잘쓰길...,5,"배송 보통이에요,발림성 보통이에요,발색 보통이에요,지속력 보통이에요"
5,색상도 괜찬고 배송도 맘에듭니다,4,"배송 빨라요,발림성 좋아요,발색 좋아요,지속력 오래가요"
6,이만한게없어요^^ 몇번째재구매중!,5,"배송 빨라요,발림성 좋아요,발색 좋아요,지속력 오래가요"
7,"기존에 사용해오던 한** 제품과 비교해보면,커버력은 좀 떨어지지만, 힘이 들어가지 않아도 잘 펴집니다.또, 기존에 제가 사용하던 것은 피부색보다 무거운 느낌의 것인데 반해,이 제품은 어둡지 않아 가벼운 느낌으로 피부색에 자연스레  연출됩니다.개인적으론, 이 제품이 더 끌리네요. 계속 사용해봐야 정확히 알 수 있겠지만요.보내주신 또 한 개의 상품과 샘플, 감사하고요, 잘 사용해보겠습니다~참, 제품에 090212-01이라고 새겨있던데,제조일자이겠지요?? ",5,
8,"비비크림은 요번에 처음사서 써봅니다 ^^배송은 주문하구 이틀걸렸구요, 그리고 쏠라c함께 넣어주신거 잘 먹엇습니다^^제품은 한번써봤는데, 커버력두 조금있구, 얇게발리는 것이 특징이구요,제가 밝은피부톤은아니구,까무잡잡한 피부도 아닌데요, 살짝 누런 편인데 바르니까부담스럽게 밝지도않고, 살짝 한톤 밝아지는 정도입니다.메이크업베이스 겸용으로 쓰려구 샀는데 크기가 생각보다 작아 놀랬지만막상 써보니 얼굴에 트러블도많고, 누런편이라 메이크업베이스 쓸때는 마니 발랐는데이건 조금만발라두 밝아진느낌이들어서 조금씩 쓰게 되는것같습니다.1+1이라 가격도 부담이 덜 되구요, 폼클렌징하구 팩은 제가 비비크림 사면서 샘플 온다길래 받아서 써보고 괜찮으면 구입할까 하는 맘이였습니다 오늘 폼클렌징은 한번써봤구요 한번써서 는 잘모르겠지만 샘플 아껴가며 몇번써보구 제피부랑 잘맞고 좋은제품인것 같으면 또 구입하겠습니다 ^ ^ 폼클렌징과 팩이 정말 좋은제품이면 좋겟다하는 바램이예여~ 피부가 모공이랑, 피지, 여드름, 등등 걱정되는상황에 화장품을 바꿀까 생각하고있는중이거든요 ^ ^",5,
9,"반신반의 하면서 써보았는데  정말 좋은 상품인것 같아요. ^^너무 하얗게 발라지지도 않고 수분도 적당해서 바를 때 편하고 매트하게 발라집니다.BB크림 바르고 나갔더니 친구들이 피부가 좋아졌다고 하더군요 ㅎㅎㅎ 고령토 팩이랑 마스크 팩 모두 사용해보았는데요, 고령토팩을 하고 나니까 세안하고 나서 개운하고 피부가정돈된 느낌이 들었어요. 마스크팩은 마스크가 얇고 수분도 많고요(써보시면 다른 마스크팩제품과 다르다는것을 알아요^^) 촉촉한게 참 마음에 들었어요. 나중에 단독으로 팩을 구입하고 싶을정도! ^^",5,
10,"사진이 따로 없어서 이걸로 대체합니다... 일단 1+1이라서 너무 좋았어요.... 기존에 저는 리오** 제품을 오랜기간동안 사용하고 있던 이용자인데요.. .이번에 1+1 혜택을 보고 좋아서 구매하게 되었는데, 가격도 일단 아주 저렴하고, 샘플도 종류별로 다 챙겨 주셔서 완젼 좋았습니다... 여러가지 상품을 골고루 써볼수도 있었구여... 그리고 본격적으로 bb제품은 발림성이 완젼 짱!! 이였습니다... 샘플 친구랑도 나눠 써 봤는데, 역시나 발림성에 관한 얘기가 가장 먼저 나올정도로 발림성 너무 좋은 제품이예여~~ 그리고 바르고 난 후 촉촉함과 함께 번들거리지 않고 윤광이 나는게 가장 좋았어요.. 커버력도 다른 제품에 비해 뛰어난것 같구여~~~ 파우더 덧바르면 착착 감기는게 너무 좋네요.... 다음번엔 모공팩을 한번 사볼까 해요.. 종류별로 챙겨주신 사은품 파우치 덕에.. 사용후 좋다고 생각되는것은 재구매할 예정입니다.... 번성하세요~~~^^",5,
11,첨써본다 생각보다 매트 하지않고 잘 발린다! 내생각엔... 손등테스트시 커버력도 좀있는거 같다. 하얗게 벙 떠 피부랑 따로놀지않고 부드럽게 발려 피부에 자연스럽게 커버되는거 같다. 사은품도주공 팩이 좋으나... 제조년이 작년9월이네... 올여름 무지 더벗는데... 민감한피부라 써도 될란지! ㅋ그래도 나름 가격대비 만족스럽다 전체화장을 안해봤지만 건조한 내피부에 괜찮다 두개라서 엄마 하나드렸다. 헤라비비 쓰시는분이라 싫다 할줄알았는데. .... 손등 발라보니 괜찮눼 하시며 물건을 소옥 가져가더니 화장대로슛! 쓸만한가보다 ㅋㅋ ,5,
12,다른 비비랑 다른점 을별루 모르겠네요 부드러운감있고요 괜찮은거같아요 그리고 이건별게에 얘긴데요 택배 배송시 집으로전화하고 확인했으면됐지 휴대폰으로 또확인을하는데 몇번울리지도안았는데 전화를 끝어버리네요 제가 다시전화안했으면 경비실에그냥두고가실라고그랬나?저번에 다른제품도 우체국택배였는데 귀찮아서그런지 사람이있었는데도 경비실에두고가더라고요~우체국택배별로네요 친절하지도않고 전해주고 빨리내려가기바뻐서그런가 친철하지도않고,4,
13,일단^^상품이 너무 좋아요 1+1할때 사서 2개나 받아서 더 좋구요엄마가 하나 달라고 조르네요!ㅠㅠ근데 배송이 조금 맘에 들지 않았어요 11시쯤에 문자로 배송하겠다고 했는데... 도착한건 7시 넘어서 받았어요..그것두 제가 택배담당자에게 문자를 드려서 받은거구요...받자마자 얼굴에 발라봤는데 너무 좋아요촉촉하구 그렇다구 기름기 많아보이지도 않구요..펄이 약간 드러있어서 얼굴이 반짝반짝 빛나요제가 타사 비비를 쓰고 있는데 그건 촉촉하지 않아서 바르고나서 파우더를 바르면 화장이 떠보였는데이건 파우더를 발라도 촉촉함이 남아 있어요^^어쨋든 너무 좋네요 .제가 이렇게 상품평 많이 써본적이 없는데 정말 좋아요!다른분들도 선택하세요~ 실망하지 않습니당♡,5,
14,"음~ 괜찮은것같아요-앞에 분들이 말씀하신것처럼 그~렇게 대단할만큼 좋은지는 솔직히 모르겠네요.그래도, 1+1에다가 이것저것 샘플도 다른데보다 많이 챙겨주시고비타민C도 하나 챙겨넣어주셨더라구요^^감사히 잘 먹었답니다+_+50g짜리 두개해서, 100g이 되요-엔뜨리다 제품은 처음 써보는건데,,지금도 바르고있는데. 피부 트러블도 없고 괜찮아요^^근데 제 피부에 비해서 색이 좀 짙은걸까요?아님, 오늘 날씨가 너무 왔다갔다해서 그런지, 생각보다 안먹어서ㅠㅜ 그래도 만족만족만족-",5,
15,허허허 푸짐하네염 넹 구성품이 이렇게 왓네염 며칠전에 받앗는데 이제 올려염 일단 비비하나 뜯어서 사용해 보고 있는데 비비 용기가 불량인지 짜는 부분이 휘어져 있더라구염; (어떻게 말로 설명 불가) 아무튼 뭐 제품에 이상 없으니 패스 전에는 더페샵 비비랑 에뛰드 베이스 섞어서 사용햇거든염 그래서인지 커버력에선 좀 떨어지는게비교가 되네염 커버력 쎈걸 원하는 저는 이부분에서 좀 실망 하지만 섞어쓰는게 이젠 귀찬...아서 나머지는다 괜춘한 거 같애염ㅋ_ㅋ 얼굴 찍어서 올리기 뭐해서 그냥 말로 설명드렸슴다 제 글 참고하시구염 즐거운 쇼핑 되세염,5,
