,review,score
0,두번째 구매하는데 진짜 조은거가태여 안뜨고 잘먹어여 피부톤에도 딱이고 완전 저한텐 인생템 이에여,5
1,오늘 트리플비비크림을 받고보니 제조일자가 2010년 7월 12일것이지뭡니까 화장품 유통기한 다된것을 보낸것이죠 CJmall이 이정도밖에 않되나싶어 기가막혔습니다 사은품이야 더 말할것도 없이 오래되고 다 말라서 사용할 수 없는 빈털털이를 보내셨더라구요 아무리 그래도 본상품은 제대로 보냈어야죠 일년이 지난것을 판매한답시고 보내셨으니 당연히 반품을 해주시던지 최신 제조일것으로 교환해주세요. 더이상 CJmall을 신뢰할 수 없겠어요. 제품을 믿고 또 CJmall을 믿고 구입한거니까 신뢰감을 회복할 수 있게 처리해주세요,3
2,ㅎㅎ사은품이 바꼈네요;;;;;분명 클렌징폼이였는데ㅠㅠㅠ근데틴트도좋아요~ㅎㅎ잘받았구요샘플사진에있는거뿐만아니라완젼많이주셨어요ㅋㅋㅋ감사합니다~~^ㅇ^ 엘리샤코이는 한 몇년째 계속 쓰고 있는데 너무 좋아요! 제 피부에 잘맞습니다. 그리고 트리플 비비 첨에 번지는 듯한데 나중에 다 가라앉구요!^^ 진짜 좋은 아이에요~ 가격도 싼 가격에 잘 사용했구요~ 암튼 감사합니다 안녕히 계시구 잘 사용할게요! 엘리샤코이 올웨이즈 트리플 비비 짱!!!!! ,5
3,지난주 이른 여름휴가를 다녀왔습니다.  동남아로 가는 여행이라 바닷가에서 하얀물 줄줄 흘러내리는것이 너무 싫어서-  썬크림만 바르자니..사진은 예쁘게 나와야겠고해서~ 워터프루프 비비를 서치해봤는데요. 엘리샤코이를 추천 많이 해주시더라구요. 가격 검색 후 cjmall이 제일 저렴해서 cjmall에서 구입 후 놀러갔따왔습니다. 사진들은 저의 예상대로~뽀샤시하게 잘 나왔구요- 워터프루프 기능 안되서 흰물 뚝뚝 떨어지거나 하지 않고- 깔끔하더라구요. 휴가때- 그리고 땀 많이 흘리는 여름. 엘리샤코이 비비크림 짱인거 같아요~,5
4,엄마께서 제가 쓰던 여러 비비를 쓰시더니..트리플 비비가 커버도 되면서 안색도 환하게 잘 표현된다고..제가 쓰던 비비를 뺏어가셔서 한통 다 쓰셨거든요...얼마전에 비비 다 썼다며 다시 주문해달라하셨는데..마침 이멜로 일줄 동안 9900원 특가 한도 와서..바루 주문했어요..특가라서 샘플 하나 없는게 좀 아쉬웠지만..그래두 가격면에서 넘 만족하고..정말 필요할때 살수 있어서 횡재한것 같아요..전 펄비비가 젤 맘에 들어서 조금 남아있지만..쌀때 같이 주문한다는게..깜빡했더니..다시 가격이 원상태로 갔네용..ㅠㅠ담에도 이런 행사 다시 있었음 좋겠구요..제가 써본 비비 중에 엘리샤코이가 젤 맘에 들어요..펄비비랑..트리플..글쿠...베이직 비비도 다 색상이 예쁘고..자연스럽게 얼굴이 환하게 표현돼서 넘 맘에 듭니다..,5
5,"샘플써보구 좋아 보여서 주문했어요 발림성도 좋구 뜨지도 않고 너무 좋습니다. 배송이 많이 오래 걸렸습니다 그거빼고 좋았어요 그리고 사은품도 많이 챙겨주셨습니다., 써보고 괜찮으면 다른 제품도 사서 써보고 싶네요 가격도 여기가 제일로 제렴했던거 같아요 좋은제품 저렴하게 사서 기분좋구 무지무지 좋은 제품인건 분명합니다. 제가 화장하는걸 좋아해서 화장품에 관심이 많은데 요 제품을 빨리 만났더라면 좋았을껄 하고 많이 생각했을 정도로요 구매계획있으시면 꼬옥 한번 사용해보세요",5
6,워낙 피부가 하얀편이라 웬만한 비비는 어두워요 근데 요고는 하얗다는 말이 있어서 샀어요 많이 하얀건 아니지만 좋아요 기존에 쓰던거는 좀 어두워서 그랬는데.. 자외선 차단도 되고 메베 겸용 썬크림 바르고 요고 하나만 바르고 나가도 좋아요 약간 번들거리는 스탈의 화장을 좋아해서... 엘리샤코이 다른 상품도 써보고 싶네요 골드 미네랄 비비있던데 그것도 써보고 싶어요 좋을것 같아요 얼른쓰고 다른것도 써봐야할것 같습니다 저렴하게 행사했을때 샀는데 또 행사 언제하나 기다려지네요,5
7,맘에 듭니다.결점 커버가 잘되는것 같습니다.,5
8,진짜 조아여,5
9,원래 사용하던 제품이라  전   뜨지않고 가벼워서 좋아요,3
