,review,score
0,제조일2017년6월5일 이네요 ~~첨 사는거라 ~~샘플을 많이 주셨네요~감사합니다^^,5
1,사은품이 빵빵하네요!,5
2,아직 써 보진 못했어요,5
3,너무 마음에 들어요! 추천합니다.,5
4,상품 품질이 좋습니다. 마음에 들어요! 재구매 했어요,5
5,좋은 가격에 잘 구매했습니다.ㅈ,5
6,블루 쓰다가 실버 써봤는데..너무너무 좋아요..블루 보다는 좀 찐한느낌이에요..그래도 커버력이 좋아서 너무 좋네요..^^,5
7,쓰다보니 닥터자르트 bb만 쭉 쓰게 되네요 가격에 비해 발림성 지속성 톤 다 괜찮은거 같아요 ,5
8,신제품 사봤는데 사은품 브러쉬 질이 좋네요비비도 잘 맞았음 좋겠네요,5
9,나도 이런 상품평을 쓰게 되다니...잘 발리고  끈적거리지 않아 좋아요번뜩거림도 없고요 가격 배송 품질  사용 편의성 매우 만족입니다,5
10,배송 이틀만에 바로 왔어요.왼쪽 흰 박스만 본품이고 나머지는 다 샘플이에요.엄청 많이 주셨어요. 대용량 샘플도 두개나 주셨네요.튜브형 비비크림입니다. 실버라벨이라 왼쪽에 은색이 붙어있네요.입구 주둥이는 이렇게 생겼어요.입구가 더 뾰족한 모양으로 생겼으면 더 좋았겠다는 생각이 들기는 하는데 비비크림이 되직한 타입이라 줄줄 흐르지 않아서 사용하는데 불편하지는 않아요.겉으로 많이 묻어나지도 않구요.비비크림이 시멘트 색깔일까봐 좀 걱정했는데 다행히 색깔 괜찮아요. 피부에 바르면 자연스럽게 제 피부색에 맞춰주는 거 같아요.실버라벨이 지성용으로 유명해서 구입했는데 왜 유명한지 알겠더라구요.되직한 타입이라 발림성이 좀 뻑뻑하긴한데 모공커버도 잘되는 편이고커버력이 엄청 좋아요.되직한 비비라 브러쉬보다는 손으로 바르는 게 더 나은 것 같아요.웬만한 파운데이션보다 훨씬 좋습니다.지성인데도 닥터자르트 실버라벨 비비크림 쓰니까 파우더 안써도 되겠더라구요.지속력도 엄청 좋아요.커버력이 떨어지는 리퀴드파데랑 섞어써도 괜찮아서 이 방법 저 방법으로 응용해서 쓰기도 좋은거 같아요.,5
11,미국 들어가는 언니한테 선물하려고 구매했어요. 급하다고 전화했더니 주문하고 하루만에 받았어요. 늘 사용하던거라 제품은 좋아요. 사은품도 푸짐해서 좋아요. ,5
12,닥터자르트 컨트롤 에이 토너구입했을 때 같이 온 실버라벨 비비크림 샘플을 한 번 써봤는데듣던대로 커버력도 좋고 잘발리고 괜찮은것 같더라구요!그래서 이번에 아이세럼도 함께 준다길래 비비크림 구매해봤어요!배송도 빠르고 매우만족입니다^.^,5
13,기존 리뉴얼 되기 전 닥터자르트 실버라벨을 사용한 후 다시금 새로 리뉴얼된 제품을 사용하게 됬네요!~다른 여러 제품들 사용해 보느라 그동안 사용하지 않았던닥터자르트 실버라벨!!!~이젠 해외에서 더욱 더 인기라니~ㅋㅋㅋㅋㅋ잘 사용하겠음돠~,5
14,늘 사용하던 제품입니다지성 피부인 저에게는 딱 맞는 제품이구요!항상 잘 쓰고 있답니다~,5
15,좋아요~!!!!커버도 괜찮고 너무 매트하지 않아 좋아요~건성인데도 스킨케어 후 바로 바르니 괜찮네요~블랙은 좀더 촉촉하지만 커버가 좀 딸려서 저는 실버가 낫네요~,5
16,잘받았어요~!!!!^^ 실버 좋아요~!ㅎ이번에 행사로 가격이 좋아서 더 좋네요~ㅎㅎㅎ잘산것 같아요^^,5
17,잘받았어요~~!!!!가격 정말 저렴하게 잘 샀구요~늘쓰는 제품이라 굳이 설명이 필요없을만큰 좋아요~ㅋ블랙과 실버가 젤 나은것 같은데 그중에서도 저는 실버가 더 낫네요~,5
18,사은품도 많고..VIP 혜택받아 저렴하게 샀어요보통 현대몰은 배송이 좀 느린데..여긴 배송도 빠르고 좋아요~닥터 자르트~~~ 팩트도 나름 괜찮더라구요~비비크림인데 두꺼운 느낌 없이 커버력이 있어서 좋아해요~~행사 자주 했음 좋겠어요~~,5
19,"닥터자르트 실버라벨 BB크림 지금 사용중인데,이번에 써보고 싶던 샤이닝 베이스를 같이 저렴하게 살수 있어서냉큼 질렀습니다.사진에는 같이 못찍었는데, 핸드크림까지 같이 받을수 있어서정말 좋은 기회였던것 같아요.커버력과 촉촉함 맘에 드는 BB인데,샤이닝 베이스를 더 빛나고 촉촉한 메이크업을 할수 있을것 같아요.",5
20,친구추천으로 샀는데 커버력 괜찮네요 그런데 생각보다 너무 하얘요ㅠㅠ제가 얼굴이 까무잡잡한 편이긴하지만..,5
21,이렇게 가끔식 특가 구성으로 나면 잘 구매하게 되네요. 제품이야 뭐 따로 설명이 없으니까요.구매사은품도 잘 받고 너무 좋아요.,5
22,"이벤트 기간 끝나고 주문했는데 팩트도 같이 왔네요~주문 하루만에 와서 좋구요,실버라벨 비비 예전에 샘플 써봤는데 맘에 들어서 주문했어요~샘플도 잘 쓸게요!",5
23,"푸짐한 구성! 퀵배송!! 닥터자르트 리쥬비네이팅 뷰티밤은 사실 리뉴얼 전부터 제가 즐겨 사용하던 제품이에요. 리뉴얼 된 후로 조금 제형이 묽어진 감은 있지만, 여전히 전 좋아요~ 전 얼굴이 하얀편은 아니라 목덜미까지충분히 발라줘야 한답니다 ㅋㅋ 제품자체가 유분기가 조금 있어서 여름엔 조금 번들거렸는데, 겨울은괜찮을 것 같네요. 샘플구성이 많아서 더더 좋아요~ 헤헤 ",5
24,좋아요 좋아요 좋아요좋아요 좋아요 좋아요좋아요 좋아요 좋아요,5
25,"몇년째 쓰고있는 닥터자르트 비비크림이예요~다른것들도 써봤지만 결국 닥터자르트로 돌아오게 되더라구요!커버력, 발림성, 지속력 다 좋아요^^21호 사용자인데 컬러가 발랐을땐 약간 회색빛이 도는듯 하지만 금방 피부색에 맞춰지구요커버력이 좋으면서도 밀착력이 좋아서 화장이 잘먹고 자연스러워요.특히 닥터자르트 제품을 구입하면, 샘플이나 사은품이 많아서 그점도 좋네요^^앞으로도 쭈욱 사용할것 같아요",5
26,실버라벨비비 샘플써보고 구매해봤어요 ㅎㅎ 너무좋아요 지성피부인데 딱인거같아요 많은비비를 써봤지만 커버력도 좋고 아무좋네요 그리고 장시간 오래가는거같아요 얼굴빛이 환한게좋네요 샘플은 별로 안옷듯해요 ㅠㅠ그래도 비비가좋아서 만족합니다 실버라벨 비비짱 ,5
27,대박이군용상품도 제대로 왔고우선 샘플이 대박이에용택배상자가 묵직해서 뭘까했는데..ㅋㅋㅋ지금은 끝났나봐요 ㅜㅜ 이런구성이 자주 있으면좋을것 같아용!!!,5
28,밀림감도 없고 얼굴에 잘 발리네요 건조하신분들에게는 당김이 심할것 같네요~~~,5
29,비비크림 하나 주문했는데 샘플 정말 많이 오구...태풍인데도 택배가 잘 왔네요 고맙습니당!비비크림 하나 주문했는데 샘플 정말 많이 오구...태풍인데도 택배가 잘 왔네요 고맙습니당!비비크림 하나 주문했는데 샘플 정말 많이 오구...태풍인데도 택배가 잘 왔네요 고맙습니당!,5
30,유분기가 넘 많아서 전 사용 안하고 있어여겨울에나 사용 하려구요..넘 버들거려요,5
31,넉넉한사은품에빠른배송까지감사합니다^^,5
32,닥터자르트 원래 쓰고 있었는데..h몰에서 득템했네요~구성 완전 짱!!기한이 2014년 까지라 하나 더 미리 구입해도 좋을꺼 같아요ㅎㅎㅎ배송도 하루만에 도착... 사진 찍으니 실버라벨이 빛에 반사 되어 잘 안 보이네요^^;;,5
33,쌩얼로 다니기엔 아쉽고 해서 비비크림 이번에 요걸로 장만해봅니다.살짝 어두운 베이지(?)색에 알맞게 찰진 느낌으로 발림성도 좋고 커버력도 좋은거 같네요.끈적임도 없구요...완죤 건성인 분에게는 좀 아쉬울거 같음.,5
34,"구입한지 꽤 되었습니다만 이제서야 상품평을 쓰네요.전반적인 상품평은 다음과 같습니다.1. 배송(★★★★★)- 주문한 지 이틀만에 제품을 수령하였으니 배송은 나무랄 때가 없네요! 역시 Hmall 배송은 상당히 만족도가 높습니다. - 또한 Hmall 배송상자에 정성스럽게 포장된 채로 배송이 되어서 기분이 좋았습니다.2. 품질(★★★★)- 기존에 한스킨 비비크림을 사용하다가 이번에 처음으로 닥터자르트 비비크림을 구입하였습니다.- 비비크림을 바꾸면서 시장조사(인터넷, 지인 문의 등)을 많이 했었는데, 남자 비비크림으로 가장 많이 추천을 받은 제품이 바로 닥터자르트 비비크림이네요. 그 만큼 사용자들의 만족도가 높다는 의미겠죠?- 저는 얼굴이 하얀편이어서 블랙라벨과 실버라벨 2종의 비비크림 중실버라벨을 선택했습니다.- 대략 2달정도 사용하였는데, 얼굴에 대한 흡착력이 좋고, 잡티 커버도 훌륭한 편이어서 상당히 만족스럽네요!  단, 너무 많은 양을 바르면 일종의 백탁현상(분 칠한 것 같은)이 나타나서주변사람의 놀림을 받으실 수 있답니다. 3. 가격(★★★★)- 요즘 워낙 비비크림 종류가 많고, 대부분의 화장품 브랜드에서 비비크림을 출시하고 있으나, 가격은 천차만별인 경우가 많습니다. 몇 천원대의 저가형 비비크림에서 몇 만원대의 고가 비비크림들까지 다양한 가격대를 보이고 있는데요. 그 중에서 닥터자르트 비비크림은그렇게 비싸지도, 싸지도 않고 무난한 가격대인 것 같습니다. 가격적인 부담은 그렇게 크지 않은 것 같아요!4. 서비스(★★★★★)- 동 제품을 구입하면서 사은품를 상당히 많이 받았네요. 휴대용 비비크림, 비타민 크림, 얼굴팩 등등! 아직 다 사용은 못해봤지만,  사은품을 많이 주니까 기분이 좋네요!5. 총평(★★★★)지금까지닥터자르트 실버라벨 리쥬비네이팅 비비크림관련 상품평이었습니다.",5
35,비비크림으로 유명한 닥터자르트워낙 평이 좋아 구입해봤어요.타 사이트보다 저렴한 가격에 사은품까지 좋네요.,5
36,빠른 배송받았어요~ 아쉬운 점은 워터슈어젤의 뚜껑이 꽉 안잠기고열려서 왔더군요 ㅠㅠ무튼 만족입니다^^ 1~2년전에 샀을땐 미네랄파우더 큰거받았었는데이번엔 작은것데 앙증맞고 귀엽네요^^~오늘 회사에 있을 때 집으로 배송되고집에 얼마전에와서 보자마자 인증샷찍어서 올리는거에욤!! ㅎㅎ빨리써보고싶군요~ㅎㅎ,5
37,배송도 빠르게 오고 사은품도 다 챙겨져서 오고원래 쓰던제품이라 매장보다 더 저렴한 가격에 구입 했습니다 :)커버력 좋구. 발림도 괜찮구요닥터 자르트제품 좋아해서 많이 쓰는데 수분크림 다음으로 비비 좋아요!파우치도 같이 챙겨주셔서 넘 감사합니당.!,5
38,실버라벨 비비크림 갖고 있는데 트러블성피부라서 샘플 종류가 많길래 여러가지 써보고 싶어서 구매했어요. 작은 카다로그 보구 대충 샘플 보긴 했지만 사용방법도 잘 안나와있고 샘플은 머가먼지 순서랑 잘 모르겠네요. 그래서 대충 맞춰서 써보긴 했어요. 자극은 없는것 같고 워터큐브크림 촉촉하네요.실버라벨 비비크림은 색상이 제타입엔 맞고 매트하게 번들거리지 않고 발리는데 트러블없고 괜찮은듯해요~,5
39,블로그에서 추천받고 닥터자르트 실버로 샀어요.건성에겐 살짝 매트할수도 있지만 스트롭 크림과 믹스해서바르니 커버력 있으면서도 촉촉하니 발려요.,5
40,비비 구매했어요~사은품 온건 못찍었어여 ㅠㅠ그래도 너무 만족스러워여 ㅋㅋ사은품대박임^_^ 적립금써서 엄청싸게구매했어여 ㅋㅋㅋ루룰랄라,5
41,"정말 H몰은 칼배송인듯 ㅋ닥터자르트 실버라벨 비비를 구입했어요 ~ 와우, 이틀 미스트 정품 준다고 하길래 오호, 좋구나 하는 마음으로 결제했는뎈ㅋㅋㅋ역시나, 미스트왔네요,미스트는 분사력도 좋고 레몬향이 나드라고요, 좋을듯비비는 워낙 유명하다보니 ㅋㅋ..지속력이 쫌 떨어진다고하던데 뭐, 그래도 ㅋㅋ만족만족다른분들에 비해 쌤플이 적긴 했으나 굳입니다저도, 피부미인이 곧 되겠네요,,,ㅋ",5
42,원래 쓰던거라 재구매했어요!!!H MALL에서 구매해서 가격도 저렴하게 사고 샘플도 많이 ?? 받았네요 ㅋㅋㅋㅋ아 아쉬워요 파우치백이나 비치샌들은 별로 필요없는데... 다른샘플로 받구싶엇는데 ㅠㅠ암튼 감사해요!!,5
43,"샘플로 받은 사은품이 2개나 되네요.슬리퍼는 하나 구매하려던 참이었는데 사은품으로 받아 기분 좋구요.젤 크림은 아직 사용해 보지 않았지만 25ML 나 되네요.비비크림은 처음 구매해 봤습니다.에스티로더 리퀴드 화운데이션만 사용하다가이 제품은 우연히 검색하다 알게되었고,HMALL에 찾아보니 상품평이 어머어마하게 많아 믿고 구매해 봤어요.테스트 결과 커버력은 소문대로 좋구요,지속력도 정말 좋네요.두껍게 발리는 것 같지만 넓게 문지르면 피부에 얇게 잘 스며들고요.매트하지 않고 촉촉하게 오랫동안 유지되네요.주위분들에게 물어봤더니 모르는 분들이 있네요.^^다른 분들에게 테스트도 해드리공..제품은 만족스럽고.. 재구매 의사도 있네요^^",5
44,쌤플인심 후합니다.^^쭉써봐야 알겠지만 온 즉시 발라보니 발림은 좋네요...지속력은 글쎄 유분기가 좀 있는것 같은데...파우더를 생각하고 컴팩으로만 마루리해서 그런지...믿고 쭉 써보죠 뭐~~,5
45,배송빨라요 현대몰 적립금이 있어서 적립금으로 구입했어요 다른분들 보니깐 샘플이 많이 왔던데전 비비랑 화면에 있는 샘플만 왔네요..다른것도 주신다고 헀는데 문의하기도 그렇고 해서 그냥 씀니다..담번에는 확실히 샘플 넣어주세요 ,5
46,"상품평믿고 샀어요,, 샘플은 다른 브랜드보다 많이 주네요^^ 어제주문했는데오늘 바로 오네요 ",5
47,딸이 만족하다 하네요..사은품도 맘에 들어요...ㅎㅎ 많이 파세요,5
48,잘 받았습니다.원하는 제품을 여기서 저렴하게 사서 좋았어요.샘플 많이 주셔서 감사해요~ ㅋㅋ,5
49,"요즘 따라 얼굴에 트러블이 많이 나서 고민이었습니다.밖에 나갈땐 화장은 해야 되겠구,,파운데이션만 바르면 뭐가 잘 나구..고민중에 닥터자르트 비비크림을 발견했는데요.구매하기 전에 여기저기 사이트나 블로그에서 찾아보니,저같은 저주받은 피부에게도 괜찮을 거 같더라구요~닥터자르트 비비크림은 처음이라 반신반의하면서 구입했는데생각보다 아주 좋네요 ^-^ 유분감이 많지않고 부드럽게 잘 펴 발려요~제조일자도 한 달도 안된 것이라,, 아주 따끈따끈한 신상을 받았네요~사실 저는 이런거에 무척 민감하거든요~신제품 보내주셔서 감사~감사~비비크림 본품 자체도 좋지만,사은품 꼼꼼히 챙겨주시는 센스에 정말 감동받았습니다.마스크팩 같은 경우는 하나에 2천원이 넘는걸로 알고 있는데두 개나 챙겨주시다니.. 폭풍감동이에요!요즘은 저녀석들 바르는 재미에 빠져 있답니다.앞으로 닥터자르트 비비는 꼭 에이치몰에서만 사게 될 거 같아용~에이치몰 배송도 빠르구, 적립금이랑 할인도 많이 되어서 정말 만족하고 있습니다 ^-^에이치몰, 닥터자르트 짱!",5
50,워낙 유명한 제품이라서 믿고 주문했어요 ^^사은품도 빵빵하고 포스트잇까지 주셨네요 잘쓸게요 ~,5
