,review,score
0,평상시에 이용하는 비비예요. ,5
1,늘쓰고있는제품  잘 받았습니다 ,5
2,처음사용해보는데 제품 만족스럽습니다 ,5
3,계속 이것만 사용하네요좋아요 ,5
4,발림성좋고 커버력도 괜찮아요. ,5
5,자극없이 잘쓰고있어요~ ,5
6,완전 인생템 너무좋아요 ,5
7,처음 사용해 보는데 괜찮아요. ,5
8,늘 쓰던거 싸게 잘 산듯 만족합니다 ,5
9,사용감 좋아서 자주 구매하는 제품입니다 ,5
10,잘받았어요 잘 쓰겠습니다 ,5
11,좋습니다좋습니다ㅎㅎ ,5
12,잘받았씁니다잘받았씁니다 ,5
13,항상 구매하는 제품이예요 ,5
14,좀 더 커버력이 올라간것 같아요 살짝 더 매트한 기분 ,5
15,배송도빠르고 좋아요!! 많이파세요오 ,5
16,좋아요 좋아요 좋아요 좋아요 좋아요 ,5
17,잘받앗습니다 좋아요 믿거씁니다 ,5
18,사용감 좋아서 쓰는 제품이에요 ,5
19,매일쓰는상품이라 더저렴하게 구매한거 같아 기분이좋습니당! ㅎㅎㅎㅎ인생bb ㅠ 몇통째 쓰고있는지모르겠어요 ㅎㅎ ,5
20,조아요 조아요조아요조아요 ,5
21,좋아요너무맘에들어요 ,5
22,너무 조아여 배송도 엄청 빠름 ,5
23,좋아요 빨리 도착했어요 ,5
24,커버력도 좋고 발림성도 좊아요...다만 색상이 약간 어두운듯해요 ,5
25,잘받았습니다~ 몇년동안 이것만 써요! ,5
26,너무 좋아요~잘 받았습니다 ~~~~^^ ,5
27,계속 사용하는 중. 좋아요!! ,5
28,항상 쓰던거라 넘좋아요 ,5
29,싸게 잘샀습니다 배송도 빠르고요 감사합니다 ,5
30,잘 받았습니다. 매번 쓰는 제품입니다. ,5
31,커버력 좋아요부드럽게 잘 발립니다 ,5
32,늘쓰던 제품이라 좋은건 두말할필요도 없구 롯데홈쇼핑에서 제일 저렴하게 구입했네요^^ 배송도 빠르고 상품도 좋아요^^ ,5
33,커버력도 좋아 계속 쓰는 제품입니다. ,5
34,"지금도 사용하고 있는 실버라벨 비비가 조금 남아서 구매했는데, 커버력도 좋고 지속력도 오래가고 만족해요. 추가구성으로 받은 아이브로우 팬슬과 두가지 셈플모두 잘 쓸거같아요. ",5
35,항상 쓰던 닥터자르트 실버비비 입니다. 배송도 빠르고 사은품도 잘 챙겨주셔서 감사합니다~ ,5
36,늘쓰던제품이예요닥터자르트만 10년쓴듯ㅋ쿠션보다 비비가 더 좋아요 ㅎ ,5
37,ㄴ시ㅢㅡㄱㄷㅇㄱ니시 ,5
38,유명해서 사보았습니다 ,5
39,넘흐좋아요 꾸준히쓰고잇어영 ,5
40,아직 사용 전이라 잘 모르겠네요 ,5
41,늘 쓰던 제품 커버력 좋아요 ,5
42,처음 구매합니다. 사은품도 푸짐히 주시고 잘 쓸게요. ,5
43,배송도 빠르고 좋아요 ~ ! ㅎ ,5
44,몇년째 쓰고 있어요. 커버력 좋고 번들거리지 않아서 좋아요 ,5
45,늘사용하는건데 역시나 좋아요~굿♡ ,5
46,항상 사용하는 굿템이예요 ,5
47,정말기대되네용~잘받았어요!! ,5
48,늘쓰던제품 지인꺼 구매함 ,5
49,몇 년째 쓰는 닥터자르트 역시 비비크림은 닥터자르트 실버라벨입니다. ,5
50,배송도 빠르고 몇년째 계속 써오는 제품입니다^^!감사합니다 ,5
51,배송 빨라요~감사합니다 ,5
52,실버라벨 비비크림 50ml ,5
53,좋아요 늘 쓰던거라...좋아요 ,5
54,저렴하게 구매했고 빠른배송 받았어요 서비스로 샘플 하나도요 ㅋㅋ ,5
55,항상 사용하는 비비 좋아요 ,5
56,싸게 잘샀습니다ㅛ 좋네여 ,5
57,처음써보는거라  아직좋은지 잘모르겠음 ,5
58,실버라벨 비비크림 50ml 실버라벨 비비크림 50ml ,5
59,좋아요 좋아요  좋아요 좋아요 좋아요 ,5
60,좋아요-배송도 빠르고 비비도 너무 좋아서 이것만 사용 ,5
61,실버라벨 비비크림 실버라벨 비비크림 ,5
62,촉촉하고 좋네용ㅋㅋㅋㅋ마음에 들어요스펀지로도 발라봤는데 쿠션퍼프에 미스트 뿌려서 바르는 게 촵촵 잘 먹는 것 같아요...스펀지 사지 말걸ㅋㅋㅋㅋㅋ ,5
63,직원선물용으로 구매했습니다 ㅋ 인기짱입니다 ,5
64,품질이 좋아 계속 재구매해서 사용중이에요 ,5
65,조아용ㅎㅎ배송도빠름감사합니당 ,5
66,좋아요좋아요좋아요좋아요좋아요 ,5
67,실버라벨 비비크림 50ml ,5
68,실버라벨 비비크림  잘받았습니다 감사합니다 ,5
69,항상 사용한 제품이라 언제나 좋아요 ,5
70,늘 쓰던 제품이에요. 좋습니다. ,5
71,항상 쓰던 제품이라서 믿고 구입해요~~~ ,5
